trip_id,vehicle_id,driver_id,start_time,end_time,distance_km,energy_used_kwh,avg_speed_kmh,start_soc,end_soc,start_lat,start_lon,end_lat,end_lon,region
58,45,38,2023-05-22 08:02:19,2023-05-22 13:46:48,231.5,54.214,40.32,62.69,5,32.943151,-127.335522,-44.970305,111.842042,North
59,10,34,2023-04-29 20:24:54,2023-04-29 22:37:11,94.72,14.876,42.96,90.76,68.66,-88.882998,-138.627324,35.021889,89.422512,North
60,38,19,2024-10-19 01:20:50,2024-10-19 01:57:56,28.26,4.605,45.7,92.16,84.67,10.027335,-108.808898,47.054564,-113.216017,North
61,45,20,2024-04-22 05:46:23,2024-04-22 08:05:08,162.38,39.457,70.21,40.96,5,-23.648848,-131.363093,-71.484397,104.653709,North
62,12,11,2024-05-26 15:40:14,2024-05-26 17:31:21,189.22,45.578,102.16,51.95,5,37.971117,-82.460681,17.637038,-14.40887,East
63,3,2,2023-03-05 02:06:13,2023-03-05 02:19:48,18.41,3.832,81.32,67.49,63.23,75.704733,-123.619322,-75.009979,129.684883,North
64,41,27,2024-04-25 02:22:34,2024-04-25 05:08:48,193.5,31.881,69.84,70.77,6.88,53.191096,164.910143,-60.059128,145.858395,East
65,24,31,2023-07-10 04:51:18,2023-07-10 07:42:47,242.38,33.632,84.8,49.33,13.74,55.619152,-0.33119,25.667099,0.643223,North
66,4,11,2023-12-08 10:50:25,2023-12-08 12:44:25,127.61,18.789,67.16,52.11,20.21,-2.670245,77.048368,-40.278092,125.228377,West
67,25,23,2023-11-06 16:36:58,2023-11-06 17:20:48,43.58,7.334,59.64,66.51,58.67,7.910975,-134.510978,2.898534,-18.977996,East
68,34,8,2023-07-27 18:02:00,2023-07-27 21:22:05,137.63,33.505,41.27,33.29,5,-83.373814,-115.103019,86.221416,61.817147,West
69,44,27,2023-07-12 20:05:36,2023-07-12 22:55:17,288.99,69.95,102.18,82.88,5,60.556898,-166.288328,-87.369867,108.588088,Central
70,25,13,2024-08-15 17:36:48,2024-08-15 18:05:15,52.01,12.248,109.68,60.34,47.24,-8.342244,120.599255,-10.582448,-167.051792,East
71,36,2,2023-03-11 22:38:12,2023-03-12 02:39:58,283.84,44.227,70.44,92.83,22.85,-6.846518,-29.817261,-24.680157,-36.754569,West
72,27,4,2023-02-09 06:08:29,2023-02-09 07:16:20,88.0,18.542,77.8,84.79,59.46,-58.10214,-140.202372,67.23882,128.201199,South
73,22,35,2023-01-07 08:26:16,2023-01-07 12:23:30,254.92,55.394,64.47,87.36,29.17,-18.230778,67.662276,11.947207,-50.881766,Central
74,30,24,2023-02-05 03:22:45,2023-02-05 05:00:28,123.17,24.189,75.62,42.65,5,-79.608918,30.342782,-74.66972,109.087902,South
75,6,25,2024-01-27 16:00:15,2024-01-27 17:52:02,137.85,28.23,73.99,83.65,29.26,-27.658913,-74.146217,83.427128,-52.793371,Central
76,44,8,2023-04-10 22:27:33,2023-04-11 03:13:00,292.65,49.952,61.51,81.67,25.86,45.382652,71.078203,-57.403327,101.307037,Central
77,28,10,2023-06-04 14:42:28,2023-06-04 17:38:59,182.73,24.608,62.11,32.62,5,-7.472117,-90.457669,22.438554,-2.367665,Central
78,26,31,2024-02-08 09:03:48,2024-02-08 10:50:39,139.81,23.678,78.5,63.51,16.99,64.910802,62.130522,57.634391,69.194918,East
79,44,21,2023-05-07 05:15:27,2023-05-07 06:46:55,120.92,24.335,79.32,84.77,57.58,63.939433,70.135277,11.880493,-112.699051,Central
80,37,33,2024-02-18 11:32:01,2024-02-18 13:31:34,149.5,19.733,75.03,60.87,39.21,81.066481,123.449925,-16.708198,-59.874923,North
81,26,8,2023-11-20 12:52:24,2023-11-20 14:45:48,177.19,37.664,93.74,77.15,5,-57.157617,-127.760081,-46.653948,-19.376568,East
82,2,39,2024-01-04 15:00:10,2024-01-04 16:00:48,83.33,16.617,82.45,93.18,65.58,76.322985,-80.174487,72.188272,72.672349,North
83,17,4,2024-03-29 05:39:44,2024-03-29 07:42:06,146.73,32.714,71.94,76.88,8.01,19.172113,61.083004,59.59775,-174.954641,South
84,29,10,2024-09-30 04:52:35,2024-09-30 11:12:11,205.81,29.469,32.53,91.63,31.49,46.275068,86.898097,63.853226,-41.658566,North
85,2,29,2023-09-01 15:39:06,2023-09-01 17:41:26,128.54,24.451,63.04,43.25,5,-3.938487,18.566412,74.781068,160.914366,North
86,44,31,2024-11-08 22:30:04,2024-11-09 01:23:44,255.27,49.074,88.19,75.88,21.05,-70.850178,-3.501213,-72.937251,-24.721265,Central
87,40,21,2024-05-29 08:48:08,2024-05-29 11:13:53,146.12,27.056,60.15,92.18,61.47,-60.740613,-44.845958,-35.77494,129.658019,East
88,39,22,2024-02-29 07:16:15,2024-02-29 08:27:51,109.51,22.69,91.76,76.86,37.67,84.883485,85.421194,-60.011199,-79.254481,East
89,50,17,2024-04-18 20:39:06,2024-04-18 22:02:18,147.83,24.513,106.59,48.14,11.33,86.960702,162.761292,64.557931,-139.120292,North
90,24,19,2024-07-01 12:18:21,2024-07-01 13:04:17,66.15,11.368,86.4,50.61,38.58,-47.062716,148.218685,-23.886366,-10.848102,North
91,21,19,2023-04-05 15:53:52,2023-04-05 18:16:07,174.18,30.89,73.46,88.22,47.03,-60.288801,140.05516,-66.699748,-135.165289,West
92,27,10,2023-08-14 14:25:47,2023-08-14 14:35:35,17.41,4.194,106.43,35.14,29.41,-29.9496,81.181836,64.056298,-120.759094,South
93,46,17,2024-08-03 11:23:57,2024-08-03 14:34:06,146.33,35.406,46.17,65.01,9.77,-9.002839,148.317343,-86.487908,96.769705,South
94,50,18,2023-04-17 14:57:12,2023-04-17 15:22:12,37.22,5.065,89.27,45.55,37.94,-88.951529,148.604845,-4.978701,-157.364337,North
95,38,15,2024-05-10 12:08:55,2024-05-10 14:05:12,73.69,13.757,38.02,51.47,29.1,27.96322,161.183757,-19.059543,147.98059,North
96,49,9,2023-01-05 00:35:20,2023-01-05 03:15:50,289.53,60.323,108.23,40.27,5,-16.567919,146.715003,-14.100021,-25.319938,Central
97,35,31,2024-05-20 06:55:12,2024-05-20 07:30:57,63.84,13.247,107.11,50.88,27.22,44.158112,-144.396337,3.417758,28.470222,West
98,8,37,2023-06-30 08:53:53,2023-06-30 10:45:07,162.87,39.022,87.85,90.88,19.02,-80.613131,-159.143458,-61.194465,-59.204864,North
99,14,27,2024-11-16 06:14:17,2024-11-16 08:38:44,252.09,58.068,104.71,32.36,5,11.229428,-37.574111,-21.164994,96.54962,East
100,36,12,2024-12-28 11:39:08,2024-12-28 13:55:00,225.96,30.391,99.78,48.82,5,69.590023,134.546943,33.506524,-61.657713,West
101,24,37,2024-04-13 04:41:20,2024-04-13 05:01:34,36.65,9.115,108.64,48.5,38.85,10.710498,-101.417357,-29.80084,-84.201548,North
102,39,34,2024-01-19 15:11:41,2024-01-19 21:45:23,267.33,43.505,40.74,62.77,5,74.175614,-111.619546,19.661368,179.798938,East
103,10,22,2023-05-07 05:06:45,2023-05-07 07:48:29,220.68,29.061,81.86,76.71,33.53,-43.024703,146.313672,61.720883,-71.450664,North
104,26,19,2024-03-17 00:12:32,2024-03-17 04:41:46,203.95,42.146,45.45,69.71,5,0.783119,-138.321099,-52.002023,-38.98499,East
105,30,28,2024-02-05 05:31:39,2024-02-05 07:09:59,101.74,25.211,62.07,36.2,5,-3.022556,163.286968,87.876238,18.57337,South
106,35,21,2024-12-27 21:02:58,2024-12-27 22:35:11,78.17,17.233,50.86,45.31,14.54,-36.815101,68.916744,-59.24787,60.552368,West
107,26,20,2024-03-28 09:51:19,2024-03-28 16:54:57,218.25,46.516,30.91,72.49,5,-32.272425,-3.064167,75.547355,-62.36707,East
108,4,8,2023-12-28 11:35:29,2023-12-28 13:07:16,95.51,22.675,62.43,62.66,24.16,64.085579,-77.213136,68.412675,-115.45392,West
109,24,8,2024-05-11 02:26:31,2024-05-11 07:34:38,275.26,43.022,53.6,69.95,24.42,-14.165634,105.901848,3.600814,-34.564581,North
110,11,31,2023-04-29 23:35:09,2023-04-30 00:51:42,139.22,29.826,109.11,54.29,5,-69.875958,174.982298,48.541143,-39.029092,North
111,35,35,2024-09-14 22:16:12,2024-09-15 02:30:08,200.91,44.314,47.47,46.09,5,48.972338,-6.791708,-85.366489,-105.734073,West
112,8,34,2023-12-13 23:59:09,2023-12-14 02:42:51,160.81,23.071,58.94,89.62,47.13,-1.974807,69.257111,-62.309176,-107.829018,North
113,40,33,2023-06-07 00:28:31,2023-06-07 04:37:04,173.95,33.475,41.99,51.33,13.33,-61.999258,162.680222,63.199128,-22.721896,East
114,10,14,2024-07-10 20:19:10,2024-07-11 01:04:05,177.03,40.193,37.28,63.17,5,-78.343107,138.057902,24.847406,84.597095,North
115,34,9,2024-02-03 15:37:59,2024-02-03 17:19:52,127.55,26.879,75.11,66.32,16.08,-8.727094,-19.816021,67.564724,-173.0966,West
116,24,2,2023-11-04 13:01:08,2023-11-04 15:39:58,80.06,11.109,30.24,44.16,32.4,-35.803032,151.062465,-61.649685,-157.58125,North
117,32,23,2024-06-28 00:07:13,2024-06-28 00:20:15,23.81,3.293,109.53,90.75,85.92,34.62209,103.853488,-26.197049,2.75243,East
118,35,3,2023-08-11 23:45:31,2023-08-12 01:07:52,125.62,31.078,91.52,79.78,24.28,-1.736933,90.525764,-65.872938,148.940489,West
119,46,27,2023-10-18 20:27:26,2023-10-19 01:22:22,297.89,71.14,60.6,86.53,5,39.260404,-170.76953,76.41953,18.922372,South
120,29,6,2024-06-14 07:00:58,2024-06-14 09:54:41,289.42,67.503,99.96,38.64,5,55.193976,-14.025078,74.958701,143.325381,North
121,10,12,2024-02-22 07:13:26,2024-02-22 10:14:00,120.95,27.84,40.19,93.62,52.25,-3.106313,-102.825034,-65.024006,71.702348,North
122,2,20,2023-12-26 15:01:05,2023-12-26 17:47:13,203.68,46.603,73.56,64.58,5,82.118562,166.983252,9.527202,-38.845739,North
123,18,30,2023-09-26 20:53:06,2023-09-26 22:00:39,50.76,11.262,45.08,86.89,73.51,-50.992147,-169.039996,-53.774091,22.632056,South
124,3,27,2024-04-22 14:59:57,2024-04-22 17:17:34,230.99,35.741,100.7,31.02,5,76.682983,169.431215,-55.582304,17.782678,North
125,9,39,2023-01-27 01:54:25,2023-01-27 03:32:20,136.7,21.786,83.76,86.69,54.12,85.42836,2.189605,74.09969,176.182321,West
126,3,26,2023-12-07 22:51:35,2023-12-08 00:25:27,74.13,10.139,47.38,86.14,74.87,-51.985256,-116.185512,-19.728335,-42.389527,North
127,37,19,2023-07-01 21:05:13,2023-07-01 23:51:43,245.66,49.562,88.52,50.73,5,-14.901353,-164.529066,-78.644613,146.794271,North
128,49,21,2023-07-04 00:12:40,2023-07-04 02:28:43,94.02,14.716,41.46,72.91,55.74,-8.993346,-179.029786,5.983708,165.00164,Central
129,24,18,2023-02-17 08:19:57,2023-02-17 10:31:15,169.23,25.556,77.33,77.79,50.75,-65.58187,8.842772,-37.850634,-20.126653,North
130,49,28,2024-03-07 17:48:26,2024-03-07 19:12:36,151.21,31.839,107.78,91.2,54.05,0.477263,-101.239158,33.277795,-114.07415,Central
131,38,21,2024-06-24 20:07:46,2024-06-24 23:10:37,127.82,28.188,41.94,54.47,8.64,-88.626531,44.499335,26.093004,-35.574048,North
132,35,16,2024-10-21 16:51:45,2024-10-21 17:35:14,71.48,13.264,98.6,39.38,15.69,36.357144,-86.362927,76.094579,35.276769,West
133,4,36,2023-11-17 12:51:57,2023-11-17 16:45:39,290.5,46.231,74.58,38.72,5,-57.958864,-14.406807,44.247182,4.533136,West
134,16,22,2024-05-17 07:28:15,2024-05-17 07:54:00,28.33,5.504,65.98,54.12,44.93,-0.656431,23.302622,6.205434,-67.669718,East
135,15,4,2023-07-28 12:29:12,2023-07-28 13:58:10,116.26,16.129,78.4,32.57,12.46,2.875707,-134.162439,-50.577823,101.001087,West
136,42,36,2023-06-18 13:28:52,2023-06-18 14:57:06,146.42,35.85,99.56,51.64,5,48.544077,105.170626,60.211954,156.669275,Central
137,1,14,2024-12-28 21:55:27,2024-12-28 22:36:27,61.06,13.465,89.32,78.55,49.72,-57.418814,26.598503,-32.306385,54.550758,East
138,18,39,2024-06-30 15:11:50,2024-06-30 15:49:48,65.33,14.573,103.21,65.89,48.58,-39.066983,97.581112,57.032711,133.218003,South
139,29,30,2024-02-19 11:57:33,2024-02-19 15:33:03,196.37,46.331,54.67,53.38,5,79.614255,-47.382888,-64.310487,87.149297,North
140,34,7,2024-09-15 13:35:11,2024-09-15 17:56:43,294.49,70.595,67.56,84.58,5,-79.849545,-86.8841,-74.716635,25.702209,West
141,28,21,2023-11-18 12:13:03,2023-11-18 12:24:14,18.49,2.44,99.13,78.18,73.98,11.670156,117.244906,-70.787597,16.995865,Central
142,40,38,2024-03-25 20:00:23,2024-03-26 00:03:39,217.4,34.263,53.62,42.75,5,-79.809645,134.388398,-0.673346,-71.874357,East
143,41,16,2024-01-23 19:39:15,2024-01-23 21:14:29,167.44,37.105,105.48,51.94,5,-0.636049,-86.297706,13.95484,152.342328,East
144,36,32,2023-12-24 22:28:30,2023-12-24 23:03:31,54.63,11.824,93.6,41.0,22.29,-25.13081,110.081027,27.999229,160.408575,West
145,36,12,2024-12-13 04:14:36,2024-12-13 06:41:27,267.36,51.567,109.23,92.22,10.63,83.214713,-102.30093,20.703607,71.924468,West
146,6,4,2024-08-16 16:18:31,2024-08-16 16:28:35,6.88,0.951,41.0,71.0,69.17,83.936778,-51.428314,74.035734,-124.176224,Central
147,12,1,2023-06-19 21:13:48,2023-06-19 23:48:21,154.19,32.382,59.86,70.16,12.23,-27.918304,106.301009,58.245718,-62.894185,East
148,44,31,2024-05-27 01:57:03,2024-05-27 06:49:43,148.92,19.571,30.53,65.86,43.99,50.092347,74.690526,-69.020283,3.094955,Central
149,38,18,2024-02-21 02:52:55,2024-02-21 12:14:00,293.36,61.865,31.37,82.86,5,-88.576054,24.907967,71.10239,-178.005616,North
150,14,7,2024-12-14 01:40:15,2024-12-14 02:28:04,33.41,6.454,41.91,42.48,28.92,-37.648877,-178.186487,-24.559493,130.770649,East
151,27,18,2024-09-09 10:41:14,2024-09-09 12:43:38,122.08,24.147,59.84,56.39,23.4,51.951186,82.884144,-33.579184,-20.849838,South
152,50,15,2023-08-21 23:55:57,2023-08-22 02:02:46,206.79,48.179,97.83,72.49,5,2.056071,-41.1415,-2.640014,143.020254,North
153,3,6,2023-11-11 18:56:06,2023-11-11 20:30:35,116.88,15.327,74.22,33.65,16.62,-87.993043,-105.437033,66.285338,-83.538079,North
154,13,6,2024-01-24 06:02:08,2024-01-24 09:09:11,254.37,62.9,81.59,51.53,5,26.759217,176.885729,-77.470694,-49.479433,East
155,9,34,2024-12-14 22:14:21,2024-12-14 22:36:47,17.55,4.151,46.91,86.43,80.23,20.73486,-162.378784,76.100057,-142.323986,West
156,35,18,2023-02-06 03:58:40,2023-02-06 07:15:13,277.63,54.183,84.75,48.22,5,53.875334,-108.538848,56.436194,101.870187,West
157,48,3,2023-05-20 07:24:36,2023-05-20 12:28:04,278.99,55.922,55.16,92.5,35.49,-14.973699,-163.498654,-84.010739,-85.003158,East
158,30,5,2023-08-21 10:55:32,2023-08-21 12:00:01,52.92,9.351,49.24,84.25,63.24,-10.47805,89.509935,18.710452,-147.321882,South
159,39,22,2023-10-26 03:24:43,2023-10-26 08:56:36,227.9,49.431,41.2,94.25,8.88,49.931475,141.858854,14.460971,125.288653,East
160,37,23,2023-02-11 16:58:26,2023-02-11 17:40:12,33.82,6.853,48.57,34.94,27.42,89.416359,154.612364,15.251387,-121.564953,North
161,44,39,2023-11-05 03:04:50,2023-11-05 08:15:49,290.83,65.153,56.11,71.22,5,-48.877674,-88.319411,9.635594,-31.091342,Central
162,33,32,2023-06-27 04:48:28,2023-06-27 05:51:07,109.96,23.264,105.29,58.07,32.76,72.545254,143.307158,15.489066,-53.846037,Central
163,48,25,2023-03-08 13:27:14,2023-03-08 17:47:40,232.79,32.316,53.63,46.02,13.08,-63.694843,54.169461,-81.871801,-41.6425,East
164,21,10,2023-10-23 03:42:47,2023-10-23 06:22:34,214.94,36.11,80.71,78.08,29.93,33.945207,11.440479,-20.176354,146.640069,West
165,9,6,2023-01-05 00:50:45,2023-01-05 05:09:49,283.17,40.286,65.58,79.49,19.27,82.353458,-164.265268,39.925961,43.556292,West
166,8,12,2023-12-01 18:02:25,2023-12-01 19:53:15,137.41,18.296,74.38,56.52,22.83,-10.999462,-84.946618,9.180371,-14.666414,North
167,27,36,2023-03-14 06:50:36,2023-03-14 08:47:44,181.09,23.81,92.76,86.14,53.61,38.878767,-68.773497,-40.08218,-40.823678,South
168,31,25,2024-08-28 04:45:53,2024-08-28 05:03:30,29.99,7.419,102.09,88.84,80.55,-79.140827,-76.687389,59.250977,10.518902,Central
169,41,34,2023-05-12 17:15:17,2023-05-12 22:00:38,207.17,33.605,43.56,47.48,5,-42.620435,48.053061,-67.454874,-177.85888,East
170,12,5,2023-05-10 20:58:18,2023-05-10 23:03:48,133.23,18.55,63.69,61.48,28.3,-58.765035,-168.201516,-38.444493,166.302354,East
171,19,16,2024-07-13 22:32:23,2024-07-14 00:59:00,189.38,27.05,77.5,42.71,13.18,-33.698183,-13.870532,14.815311,-21.787454,South
172,24,1,2023-11-04 08:13:59,2023-11-04 09:31:36,103.0,17.463,79.62,82.26,63.78,33.970117,-94.290215,34.672297,79.275334,North
173,26,28,2024-09-25 09:33:52,2024-09-25 12:35:06,247.94,41.171,82.08,68.64,5,83.917539,-169.56511,-41.76286,-116.348857,East
174,43,13,2024-01-08 01:23:19,2024-01-08 02:18:00,97.68,16.115,107.17,92.97,72.88,-48.251374,9.127643,41.392076,166.040818,West
175,50,32,2024-03-23 07:10:04,2024-03-23 11:22:15,235.68,52.864,56.07,48.22,5,31.457093,118.627515,-23.732057,-153.530276,North
176,28,8,2024-12-24 22:59:27,2024-12-25 01:12:18,171.34,36.291,77.38,65.47,5,-7.459991,45.057269,-36.380863,127.883238,Central
177,40,2,2024-07-18 20:14:22,2024-07-18 21:52:06,141.18,23.289,86.67,58.5,32.07,-57.731473,62.103395,38.915785,-27.824677,East
178,50,5,2024-09-28 02:37:28,2024-09-28 05:20:59,255.1,37.424,93.6,73.74,17.55,-44.879226,113.599481,12.772903,-160.80554,North
179,24,16,2023-07-16 06:19:40,2023-07-16 08:36:46,199.31,27.679,87.22,81.29,52.0,81.156917,-30.567757,-20.962795,-7.870947,North
180,43,31,2024-03-28 05:48:54,2024-03-28 07:33:44,123.24,26.251,70.53,89.83,57.1,-84.542782,76.537878,55.150734,-15.962419,West
181,39,3,2024-09-06 04:06:22,2024-09-06 07:28:52,290.69,58.504,86.13,82.8,5,-58.99821,52.721788,70.063335,43.304569,East
182,8,7,2024-08-20 06:20:32,2024-08-20 07:16:57,78.23,15.921,83.18,40.81,11.49,-30.425108,108.417727,31.911735,-23.398488,North
183,41,26,2024-08-07 15:01:26,2024-08-07 16:07:16,102.82,14.583,93.7,36.89,7.67,73.080705,-35.590451,-26.729633,-146.806611,East
