record_id,vehicle_id,recorded_at,state_of_health,state_of_charge,temperature_c,voltage_v,cycle_count,charging_mode
81,1,2024-09-22 14:17:27,96.88,80.3,4.15,362.358,50,rapid
82,11,2023-05-07 12:21:56,99.01,62.44,8.52,355.692,15,slow
83,46,2023-01-27 20:24:45,100.49,18.66,12.74,392.756,2,rapid
84,46,2024-12-18 13:37:35,93.83,12.33,12.59,364.69,42,slow
85,28,2023-06-28 03:55:24,99.77,94.85,8.43,342.435,9,slow
86,32,2024-11-16 18:30:02,92.43,22.81,3.05,350.745,83,fast
87,33,2024-09-03 03:52:18,92.96,99.37,0.93,416.468,65,slow
88,41,2024-10-03 05:06:54,97.39,22.59,-5.59,345.05,74,rapid
89,40,2024-05-22 20:28:57,95.86,87.46,27.11,399.338,61,fast
90,9,2024-09-29 18:28:16,98.3,91.28,14.27,365.374,62,slow
91,49,2024-10-27 08:43:33,95.42,37.52,36.27,356.468,88,slow
92,2,2024-02-20 13:51:01,97.57,24.58,3.24,405.313,46,fast
93,38,2024-11-21 05:04:48,96.39,83.26,19.29,380.755,35,rapid
94,27,2023-08-20 08:08:43,98.59,43.5,-4.9,342.995,12,slow
95,33,2023-04-29 21:21:21,99.43,17.85,-7.5,381.424,15,slow
96,28,2024-05-07 18:12:36,96.77,57.97,25.28,390.587,32,slow
97,19,2024-03-17 01:54:05,98.95,10.97,26.56,417.012,32,rapid
98,20,2024-05-30 23:17:32,96.28,29.17,1.27,364.435,30,fast
99,24,2023-02-21 12:43:47,99.25,45.56,-6.39,390.32,3,slow
100,16,2023-09-19 03:44:49,99.28,96.4,15.04,364.277,14,fast
101,49,2023-04-24 23:27:15,98.6,96.41,13.28,408.85,12,slow
102,43,2023-03-08 02:07:32,99.04,81.54,-5.78,381.819,7,rapid
103,38,2024-03-06 13:11:32,98.98,50.86,13.29,398.844,54,slow
104,14,2024-01-24 10:33:34,98.11,69.07,-2.92,357.047,36,rapid
105,37,2023-06-23 08:52:08,99.83,13.75,17.87,357.986,12,slow
106,38,2023-07-16 10:38:02,100.33,76.53,12.54,380.784,23,rapid
107,48,2024-09-05 21:29:08,96.22,58.47,39.44,342.45,79,rapid
108,43,2023-11-09 19:36:45,98.14,75.51,-7.8,390.11,36,fast
109,32,2024-09-17 03:38:14,96.91,61.19,32.2,383.147,48,rapid
110,26,2024-07-13 11:13:43,97.04,42.55,5.34,364.453,36,slow
111,38,2023-05-22 21:46:47,99.51,12.8,12.58,381.325,17,fast
112,1,2023-04-19 22:52:10,99.71,76.5,42.99,345.976,8,fast
113,36,2024-05-25 02:20:23,95.35,42.31,25.69,397.519,57,rapid
114,21,2023-07-27 08:52:09,98.2,78.34,-8.02,400.708,26,rapid
115,38,2024-06-10 06:05:30,99.36,88.71,19.59,404.199,66,slow
116,42,2024-07-09 23:36:53,94.31,22.19,43.54,348.468,70,rapid
117,3,2023-12-20 19:43:47,97.05,34.95,32.3,389.484,32,slow
118,8,2024-08-30 14:57:49,97.4,46.23,27.84,369.365,55,rapid
119,1,2024-11-24 05:29:36,91.6,95.73,44.21,384.156,58,slow
120,34,2023-11-22 00:15:33,97.19,34.61,42.8,350.087,24,fast
121,4,2024-06-24 08:51:53,98.34,20.35,-9.14,349.398,47,slow
122,15,2023-07-08 02:42:08,99.52,51.69,-7.41,362.821,14,slow
123,30,2023-07-09 17:35:46,98.41,79.54,21.15,389.085,17,fast
124,39,2024-09-22 03:27:31,95.73,15.39,1.76,402.064,45,slow
125,33,2023-03-20 12:39:21,100.58,76.66,41.34,385.873,5,rapid
126,11,2023-08-09 07:14:33,98.1,35.43,19.01,348.423,28,slow
127,4,2023-03-14 10:12:14,99.42,22.23,-5.39,361.143,5,fast
128,24,2023-03-17 06:17:51,100.31,21.22,15.5,387.574,9,fast
129,4,2023-01-17 18:10:03,99.84,34.37,30.09,352.365,1,rapid
130,31,2023-08-18 22:10:34,97.51,83.13,43.21,395.106,15,slow
131,21,2023-03-12 23:59:53,99.68,16.57,8.51,348.738,3,rapid
132,2,2024-05-12 03:54:48,98.49,44.13,16.88,359.828,41,rapid
133,14,2023-02-10 23:28:54,99.99,16.78,27.12,361.182,4,fast
134,29,2024-05-22 23:10:46,94.57,31.99,31.48,405.304,49,rapid
135,9,2023-09-03 09:58:32,96.54,19.78,27.7,393.446,24,rapid
136,40,2023-08-30 15:00:28,97.47,22.75,33.57,346.822,17,fast
137,21,2023-06-12 20:14:14,98.68,58.18,-1.52,382.397,17,rapid
138,24,2023-02-16 14:58:18,101.71,34.27,23.66,405.362,4,slow
139,12,2024-09-12 15:47:11,96.71,63.38,35.4,380.894,66,rapid
140,48,2024-12-25 15:27:37,93.36,88.83,-0.57,381.43,56,fast
141,21,2023-02-05 09:30:27,99.93,62.73,38.54,390.436,3,slow
142,24,2023-07-21 08:42:54,99.44,84.02,40.16,368.65,14,rapid
143,31,2024-01-18 09:53:41,97.52,34.61,11.48,403.546,26,fast
144,28,2023-08-08 06:40:16,96.36,14.39,-9.52,385.464,26,slow
145,25,2023-08-20 04:37:26,97.23,51.17,34.34,404.186,21,rapid
146,15,2024-09-01 20:23:37,93.2,99.78,9.34,392.127,45,fast
147,2,2024-03-28 16:21:28,96.68,32.87,15.73,408.777,32,fast
148,47,2023-06-03 21:08:25,97.44,13.92,31.56,344.836,18,rapid
149,15,2023-04-20 18:41:01,99.07,49.63,-2.12,416.176,8,slow
150,46,2024-01-06 10:30:35,99.16,21.19,11.68,344.542,22,slow
151,42,2024-10-02 23:26:17,97.53,62.6,3.56,390.77,59,rapid
152,17,2023-07-27 17:23:51,99.41,51.39,21.53,352.424,26,fast
153,6,2024-09-02 18:46:43,95.16,47.27,4.44,414.116,46,rapid
154,48,2024-11-26 19:52:22,96.47,66.09,36.35,398.644,85,slow
155,29,2024-07-17 05:31:30,96.18,35.91,30.03,392.7,34,rapid
156,7,2024-02-15 22:50:01,97.01,86.5,41.25,362.389,21,slow
157,39,2023-06-12 01:51:49,99.3,44.87,15.39,413.45,11,slow
158,50,2024-06-01 12:59:48,97.78,13.64,30.06,371.155,54,slow
159,6,2023-05-07 21:26:52,99.07,21.05,-9.13,340.524,7,slow
160,35,2024-07-12 01:02:15,95.49,13.41,32.62,363.356,57,rapid
161,23,2023-05-12 19:35:20,96.37,95.26,14.33,414.5,11,fast
162,18,2023-05-22 19:10:20,100.48,28.92,28.46,357.362,15,rapid
163,30,2023-05-31 07:35:31,98.05,96.71,23.44,401.579,14,slow
164,23,2023-04-03 23:15:08,98.87,22.42,-9.92,375.282,5,fast
165,13,2024-11-25 09:59:53,94.81,56.97,42.6,385.54,80,fast
166,14,2024-11-10 07:28:17,92.11,42.51,9.61,359.89,88,fast
167,12,2023-01-04 08:11:03,100.32,50.79,-8.33,404.792,0,slow
168,31,2024-04-28 15:54:34,97.85,30.96,14.71,406.368,33,slow
169,40,2024-01-05 23:30:48,95.72,17.71,7.12,367.191,45,slow
170,44,2024-06-20 04:39:46,97.11,92.12,10.52,391.112,66,slow
171,34,2023-04-27 00:36:02,99.3,15.29,-1.71,342.202,12,fast
172,6,2024-11-07 20:16:43,97.06,77.79,18.73,407.622,88,fast
173,12,2023-07-10 12:55:29,99.16,47.22,-7.92,358.766,10,fast
174,40,2024-12-05 10:27:22,94.69,66.15,29.69,415.686,41,fast
175,29,2024-09-05 06:27:45,95.21,83.71,20.29,383.074,71,slow
176,39,2023-08-08 19:40:39,97.27,51.84,-9.35,416.379,24,slow
177,15,2024-12-25 11:48:53,98.79,48.09,25.73,381.254,83,fast
178,22,2024-06-14 07:47:18,95.84,95.45,-9.73,367.102,59,fast
179,22,2023-02-03 11:19:58,99.31,91.11,11.5,389.762,3,slow
180,29,2023-05-19 05:48:49,100.02,95.99,-4.26,412.902,10,rapid
181,9,2023-01-31 13:43:32,99.14,59.81,32.1,365.916,1,rapid
182,17,2024-12-05 05:27:34,95.91,19.54,38.22,360.863,46,fast
183,39,2024-11-06 14:36:25,97.58,48.32,38.34,415.802,76,fast
184,29,2023-07-19 03:49:21,98.42,49.75,39.19,384.78,24,fast
185,37,2024-02-01 16:56:24,95.72,85.23,9.79,365.173,28,slow
186,49,2023-03-08 19:57:34,100.92,68.11,41.55,376.618,4,fast
187,19,2023-03-13 04:26:36,100.55,50.5,23.61,365.362,6,slow
188,5,2023-05-05 08:37:22,100.38,29.15,36.39,374.493,8,rapid
189,43,2024-04-09 04:44:39,95.57,98.4,44.26,375.083,23,fast
190,1,2023-08-16 08:47:50,97.49,66.54,1.05,367.565,26,fast
191,24,2023-11-02 23:03:23,96.92,72.75,22.42,400.548,36,slow
192,43,2024-07-17 07:54:27,96.57,95.75,43.01,402.105,33,fast
193,25,2024-11-23 01:55:33,95.31,86.74,-9.73,384.205,54,rapid
194,33,2024-10-31 22:35:19,94.85,80.89,-3.67,358.73,72,slow
195,22,2024-08-25 10:06:13,95.13,80.6,36.97,410.037,46,fast
196,35,2023-06-15 07:56:58,98.84,64.52,28.38,356.443,11,fast
197,5,2024-09-29 19:24:48,93.97,40.45,0.4,387.065,49,rapid
198,35,2023-07-27 08:38:11,97.04,71.17,44.89,375.505,22,fast
199,2,2024-07-25 22:52:35,95.91,54.88,41.63,347.945,41,slow
200,16,2024-11-08 05:00:43,95.65,99.36,33.12,398.66,38,rapid
201,32,2023-08-28 21:47:39,97.99,49.39,26.32,390.954,28,fast
202,16,2024-01-27 06:16:53,95.36,51.26,0.26,346.347,31,fast
203,46,2024-01-16 10:23:55,95.9,32.95,10.61,380.127,32,rapid
204,10,2023-08-14 14:45:09,99.53,75.2,6.92,361.924,20,fast
205,15,2024-05-02 14:25:52,96.91,55.28,15.86,373.461,53,rapid
206,37,2023-05-14 14:46:55,98.46,24.49,1.27,357.504,16,rapid
207,11,2023-04-06 06:47:23,99.45,72.88,-3.24,408.893,5,rapid
208,1,2023-08-13 20:04:50,98.35,95.33,4.22,402.445,19,fast
209,5,2023-10-10 05:52:02,97.74,95.56,25.74,370.39,14,fast
210,27,2024-03-01 16:30:33,97.33,30.76,-5.35,347.898,45,rapid
211,20,2023-10-15 20:10:11,100.03,83.73,42.04,400.147,23,fast
212,31,2024-07-12 21:52:53,95.21,46.08,3.84,417.813,30,fast
213,9,2023-01-07 12:58:20,100.03,67.67,22.24,364.868,0,slow
214,5,2024-01-17 09:07:00,98.72,35.88,24.28,381.553,35,rapid
215,36,2024-01-25 08:31:20,96.85,76.64,-2.2,340.396,21,rapid
216,36,2023-10-09 00:43:38,97.02,47.27,23.4,387.593,26,rapid
217,15,2024-05-16 06:17:05,96.4,15.55,34.02,351.175,42,fast
218,13,2024-03-29 17:27:42,99.16,24.6,37.67,360.555,24,slow
219,35,2024-06-24 19:55:46,99.47,31.76,-8.91,346.318,68,rapid
220,17,2024-06-03 07:18:26,99.06,41.83,17.6,365.871,48,fast
221,24,2023-04-14 15:18:37,99.98,19.39,-5.88,355.429,10,fast
222,23,2023-12-20 06:30:37,96.13,57.1,7.46,414.997,45,rapid
223,13,2024-05-19 23:59:23,96.73,31.74,9.2,371.793,43,rapid
224,28,2024-11-12 00:08:23,97.03,98.83,34.43,383.409,79,fast
225,46,2024-11-18 13:48:11,95.0,51.76,19.36,351.269,88,fast
226,3,2024-06-21 21:08:48,97.48,65.33,22.07,348.867,63,rapid
227,28,2023-04-11 03:02:22,100.7,67.04,13.15,415.918,9,fast
228,44,2024-12-27 21:40:31,94.36,22.36,18.89,368.951,43,rapid
229,30,2023-05-29 12:57:32,100.83,89.78,-7.33,405.012,7,rapid
230,32,2024-09-23 14:57:51,98.33,78.31,27.38,419.745,47,rapid
231,48,2024-06-09 03:21:48,94.89,95.96,14.98,348.069,31,fast
232,41,2023-02-28 10:25:01,100.14,67.05,39.45,398.481,4,fast
233,47,2023-07-30 05:30:15,98.61,45.16,13.38,357.365,24,rapid
234,14,2024-06-10 16:56:57,96.76,56.97,5.84,398.543,43,fast
235,16,2024-06-07 04:45:03,96.22,14.83,17.2,365.07,63,rapid
236,19,2023-02-20 21:51:41,99.66,90.46,-6.63,410.732,4,slow
237,49,2023-09-27 03:41:51,99.05,95.93,23.01,399.0,18,slow
238,33,2023-02-12 00:38:46,99.45,67.57,38.51,388.648,3,slow
239,17,2023-07-29 13:59:28,98.69,12.16,24.09,377.445,12,rapid
240,12,2023-07-03 00:04:54,98.86,73.23,3.28,414.289,20,fast
241,31,2024-05-04 00:35:26,97.21,33.15,11.88,375.006,42,fast
242,15,2023-09-20 04:26:54,98.51,60.17,-4.13,377.452,15,fast
243,27,2023-11-29 10:19:28,98.07,29.54,32.45,399.598,20,fast
244,12,2023-12-26 08:49:07,97.58,84.9,42.89,367.66,45,slow
245,14,2024-11-18 04:02:43,95.68,61.25,14.02,377.804,83,rapid
246,40,2024-05-15 05:39:54,96.51,55.38,39.04,404.988,44,slow
247,46,2024-11-18 01:29:44,93.42,87.84,37.55,357.684,86,rapid
248,39,2023-03-27 03:52:46,99.41,49.74,22.97,385.389,9,fast
249,30,2024-06-02 19:37:51,93.39,17.58,30.67,373.714,54,slow
250,3,2024-10-09 04:35:38,94.42,45.24,25.94,393.838,64,slow
251,1,2024-07-11 00:29:06,97.13,88.89,11.58,363.208,37,slow
252,48,2024-08-27 09:31:46,94.72,81.49,22.35,360.231,38,rapid
253,1,2024-05-05 12:46:12,98.6,90.03,14.28,397.424,34,slow
254,30,2024-01-31 01:13:17,99.0,66.45,39.64,413.607,50,fast
255,43,2024-01-10 16:39:29,99.05,58.64,10.47,343.159,20,slow
256,4,2024-05-31 23:42:39,97.24,67.07,-2.27,381.158,62,rapid
257,31,2024-12-24 18:31:06,95.93,59.64,-3.37,353.256,75,fast
258,42,2023-01-22 14:24:55,99.01,34.68,13.16,357.328,1,fast
259,25,2023-10-02 17:34:38,96.44,87.01,19.06,415.062,31,fast
260,19,2024-08-04 10:15:12,96.73,28.06,-3.34,365.009,38,slow
261,33,2023-10-12 15:08:23,99.26,45.63,27.1,368.718,33,fast
262,38,2023-11-14 04:54:21,101.35,47.07,-7.7,414.289,40,slow
263,46,2023-06-20 01:06:43,99.18,85.87,30.52,381.267,17,slow
264,1,2024-03-14 00:51:29,97.49,97.37,-2.97,347.406,31,fast
265,31,2024-12-13 21:12:03,95.92,50.78,-2.82,378.774,60,fast
266,5,2023-08-10 03:56:30,97.88,48.67,1.77,354.791,26,slow
267,35,2023-03-02 04:18:08,100.34,60.36,-3.3,389.595,4,rapid
268,49,2023-04-26 10:11:45,99.33,98.1,0.46,352.226,11,fast
269,3,2023-03-09 12:51:03,100.56,37.51,11.68,350.647,4,fast
270,28,2024-06-09 17:47:28,98.12,63.25,8.06,388.277,66,fast
271,35,2024-12-26 07:53:13,95.72,54.89,15.18,389.896,39,fast
272,33,2023-05-02 00:51:50,99.35,45.93,43.93,370.183,9,rapid
273,15,2023-12-02 02:25:50,96.17,60.86,7.01,381.443,30,rapid
274,48,2023-10-04 11:58:00,98.78,11.48,7.98,386.343,21,rapid
275,28,2023-05-09 06:56:33,98.83,60.9,36.77,356.857,16,slow
276,21,2023-12-14 21:56:38,98.08,24.3,3.48,415.638,38,fast
277,35,2024-09-28 22:36:34,95.11,14.94,27.51,377.402,41,rapid
278,44,2023-07-07 03:52:57,100.16,32.63,38.28,374.434,15,slow
279,23,2023-03-19 18:33:37,99.74,44.77,20.08,418.426,9,fast
280,11,2024-01-26 00:49:10,95.04,44.75,30.64,381.596,36,fast
281,40,2023-05-12 14:02:28,99.33,32.93,-8.95,359.665,16,rapid
282,44,2024-12-07 02:26:01,92.6,17.5,42.64,389.727,54,slow
283,15,2024-06-02 05:54:03,96.01,58.62,28.25,358.827,30,slow
284,35,2023-01-22 11:36:24,99.54,62.14,0.48,377.513,2,slow
285,42,2024-10-08 16:23:40,93.7,64.22,33.18,390.531,65,slow
286,6,2024-08-25 15:44:33,92.81,24.2,41.17,342.224,49,slow
287,33,2024-08-16 17:06:59,95.19,31.64,-4.53,352.152,33,slow
288,16,2024-09-24 00:15:22,94.14,67.34,27.72,394.311,46,slow
289,38,2024-03-05 18:30:19,97.91,32.0,20.21,413.211,38,slow
290,8,2023-05-23 02:06:29,98.67,64.4,39.37,415.886,8,fast
291,32,2024-05-08 16:30:57,96.03,11.24,28.45,395.221,51,rapid
292,49,2024-08-04 12:24:57,98.63,51.66,37.79,407.432,71,slow
293,19,2024-10-22 03:57:18,96.22,80.57,18.07,402.249,39,slow
294,21,2023-08-10 02:47:10,95.14,37.4,24.03,349.085,29,slow
295,46,2024-06-19 21:36:23,95.1,57.97,0.25,342.654,38,slow
296,40,2023-07-04 09:44:41,98.5,75.95,18.58,408.884,17,rapid
297,13,2023-08-08 20:06:10,98.8,85.36,-0.77,370.435,23,slow
298,24,2024-10-30 20:27:33,95.3,73.92,-0.21,395.832,63,slow
299,44,2024-07-25 16:32:45,94.8,24.42,-1.88,409.516,70,slow
300,15,2023-03-28 18:17:52,98.65,52.06,9.05,363.211,8,rapid
301,14,2023-05-11 01:46:45,99.03,77.44,-5.41,375.675,7,fast
302,30,2024-09-09 05:38:18,94.52,58.33,30.53,416.247,31,fast
303,7,2023-09-16 17:17:56,99.43,25.24,14.33,402.377,16,slow
304,40,2024-03-21 08:26:03,97.17,53.5,34.38,415.426,29,slow
305,19,2024-06-07 06:50:48,98.11,56.97,32.86,344.852,41,fast
306,21,2024-09-09 18:41:18,97.02,57.49,17.6,353.105,45,fast
307,29,2023-02-18 09:04:18,100.52,50.69,17.07,398.707,4,rapid
308,15,2023-01-19 09:44:02,99.85,45.34,26.29,406.462,1,rapid
309,15,2023-09-08 01:13:23,98.29,91.25,14.3,376.365,24,fast
310,16,2024-12-23 05:36:39,94.36,59.36,21.06,349.424,77,slow
311,9,2023-01-09 10:51:30,99.46,84.38,4.06,374.174,0,fast
312,35,2023-01-25 02:31:02,99.59,65.62,-7.83,342.358,1,fast
313,21,2023-02-19 21:04:20,101.37,34.58,42.3,404.158,5,fast
314,4,2024-06-03 01:53:28,96.61,58.67,41.65,408.625,50,rapid
315,36,2023-11-11 23:47:39,97.26,90.48,33.2,360.369,17,rapid
316,43,2024-04-14 06:27:04,98.67,67.12,19.87,346.42,33,rapid
317,34,2023-04-04 13:43:47,98.94,77.78,36.45,405.676,7,fast
318,32,2024-09-10 01:27:02,95.31,51.82,12.89,345.698,75,slow
319,18,2024-03-14 10:56:14,96.24,61.14,33.46,375.988,33,slow
320,31,2024-11-06 18:00:24,93.28,78.25,-7.79,410.745,71,rapid
321,1,2023-07-15 09:50:19,98.86,50.69,38.07,375.234,20,fast
322,13,2024-07-19 20:45:08,96.97,65.55,9.43,387.044,60,rapid
323,18,2024-02-12 02:34:24,97.84,73.79,17.44,418.278,52,rapid
324,39,2024-11-11 17:25:12,93.31,29.35,29.86,396.047,84,rapid
325,2,2023-05-07 22:09:57,99.06,65.12,21.64,372.071,10,rapid
326,39,2024-09-13 07:24:16,93.62,78.92,5.74,362.88,38,fast
327,16,2024-03-30 19:11:06,97.51,81.65,9.07,396.809,45,rapid
328,47,2024-03-05 10:00:06,95.85,50.86,-0.87,417.697,38,fast
329,15,2024-10-07 00:26:50,96.87,45.14,-1.31,408.168,54,slow
330,16,2023-07-29 20:19:41,98.15,20.5,28.01,350.655,16,rapid
331,13,2023-07-18 09:29:06,97.55,88.63,1.65,353.706,24,rapid
332,27,2023-05-22 07:44:42,98.76,27.55,15.27,362.665,10,fast
333,46,2023-04-02 00:38:31,97.46,28.3,37.92,414.721,5,slow
334,30,2023-09-21 17:22:18,100.25,61.83,6.12,385.41,23,fast
335,11,2024-08-17 10:23:53,95.63,36.94,37.1,401.462,48,rapid
336,8,2024-11-29 10:53:17,96.87,24.53,-3.88,418.296,58,fast
337,42,2024-04-19 03:37:38,97.88,26.02,22.79,380.089,41,fast
338,29,2024-07-19 19:06:17,96.36,29.3,39.91,389.466,69,fast
339,49,2024-05-16 02:25:00,95.88,10.19,15.56,404.762,35,rapid
340,5,2024-09-10 23:59:29,95.26,87.1,16.41,385.507,78,slow
341,4,2023-09-21 18:41:01,96.95,33.41,30.71,419.811,13,rapid
342,6,2023-04-19 23:38:35,100.64,98.17,39.72,359.089,9,rapid
343,44,2024-10-03 11:44:48,92.88,77.03,44.33,390.855,81,rapid
344,27,2023-01-11 06:55:43,100.26,76.27,22.47,349.139,0,rapid
345,41,2023-11-17 22:59:08,99.23,19.22,34.66,403.918,37,rapid
346,32,2024-04-09 06:19:56,95.21,66.59,11.22,340.716,26,fast
347,29,2023-03-06 21:00:40,99.16,24.82,-9.88,398.172,4,fast
348,3,2023-01-02 06:42:56,99.96,78.54,0.3,418.628,0,rapid
349,35,2023-11-19 19:47:30,96.07,30.42,-2.65,414.04,17,fast
350,6,2023-07-25 06:24:53,98.58,65.54,6.24,369.754,24,rapid
351,26,2024-08-15 12:44:23,97.65,96.84,17.79,360.901,31,slow
352,42,2023-02-22 09:20:14,100.6,35.04,4.83,360.591,2,fast
353,15,2024-10-16 03:31:53,95.65,92.56,-6.27,418.38,64,slow
354,34,2024-07-01 07:16:05,92.87,38.99,22.94,409.371,39,fast
355,43,2024-01-01 11:27:49,96.7,54.08,32.07,380.307,36,slow
356,22,2023-09-02 04:41:03,96.75,61.73,26.3,388.065,23,slow
357,25,2023-12-11 12:53:42,99.42,18.97,10.29,357.473,25,rapid
358,35,2023-03-22 07:05:04,99.26,79.47,34.95,358.391,4,slow
359,22,2024-09-19 23:18:58,95.57,42.0,20.33,372.785,64,fast
360,28,2024-07-10 16:01:09,98.01,65.57,1.63,364.58,49,fast
