alert_id,vehicle_id,alert_time,alert_type,severity,message,resolved,resolved_at
31,43,2023-04-21 06:13:12,charging_error,high,Charging Error on BYD Tang,True,2023-04-21 19:56:27
32,32,2024-01-11 21:06:54,charging_error,medium,Charging Error on Rivian R1S,True,2024-01-12 11:42:18
33,47,2023-01-11 13:28:14,fault,medium,Fault on Hyundai Ioniq 6,True,2023-01-12 17:57:01
34,32,2024-09-05 07:08:03,battery_low,low,Battery Low on Rivian R1S,True,2024-09-07 04:43:49
35,10,2023-08-05 11:32:54,fault,low,Fault on Volkswagen ID.4,True,2023-08-05 14:44:35
36,46,2024-09-01 23:51:29,maintenance,medium,Maintenance on Volkswagen ID.4,False,
37,7,2024-02-11 19:07:52,charging_error,low,Charging Error on Volkswagen ID.4,True,2024-02-13 03:08:50
38,43,2023-12-08 05:42:35,charging_error,medium,Charging Error on BYD Tang,True,2023-12-09 23:07:57
39,3,2024-02-16 12:04:18,overtemp,critical,Overtemp on BMW i3,True,2024-02-17 04:44:25
40,40,2024-12-07 17:19:34,overtemp,low,Overtemp on Nissan Leaf,True,2024-12-08 12:39:27
41,4,2024-06-14 16:02:44,maintenance,low,Maintenance on BMW iX,True,2024-06-15 04:26:06
42,14,2024-02-21 21:43:55,battery_low,low,Battery Low on Hyundai Ioniq 6,True,2024-02-23 01:38:51
43,3,2024-04-13 22:04:08,maintenance,low,Maintenance on BMW i3,True,2024-04-16 08:51:45
44,50,2024-12-09 06:03:18,charging_error,medium,Charging Error on BYD Han,False,
45,13,2023-09-26 16:43:33,fault,low,Fault on BMW iX,True,2023-09-28 02:07:52
46,43,2024-09-13 18:19:28,charging_error,high,Charging Error on BYD Tang,True,2024-09-16 06:14:11
47,1,2024-12-21 18:27:30,maintenance,medium,Maintenance on BMW i3,False,
48,36,2023-09-10 02:55:42,battery_low,medium,Battery Low on Hyundai Ioniq 6,True,2023-09-10 19:03:07
49,26,2024-03-27 15:54:26,battery_low,low,Battery Low on BYD Atto 3,True,2024-03-29 10:49:47
50,42,2023-05-26 22:17:22,maintenance,medium,Maintenance on BYD Han,True,2023-05-27 07:31:11
51,49,2023-05-24 12:41:23,maintenance,medium,Maintenance on BMW i3,True,2023-05-25 07:57:42
52,27,2024-07-16 21:40:27,maintenance,high,Maintenance on Hyundai Kona EV,False,
53,9,2024-08-09 04:25:00,charging_error,medium,Charging Error on Nissan Leaf,True,2024-08-11 09:16:12
54,38,2023-09-20 22:25:44,overtemp,high,Overtemp on BYD Han,True,2023-09-23 02:15:09
55,16,2024-02-11 05:21:43,fault,low,Fault on Nissan Leaf,True,2024-02-12 10:49:15
56,43,2024-05-17 21:51:02,overtemp,critical,Overtemp on BYD Tang,True,2024-05-17 22:41:35
57,2,2023-09-03 02:41:06,fault,low,Fault on Volkswagen ID.3,True,2023-09-05 10:26:07
58,17,2023-10-12 02:20:19,charging_error,low,Charging Error on Volkswagen ID.3,True,2023-10-14 05:36:50
59,31,2023-12-16 11:46:54,battery_low,medium,Battery Low on BMW i3,False,
60,14,2024-11-14 04:00:04,maintenance,high,Maintenance on Hyundai Ioniq 6,True,2024-11-15 02:58:50
61,14,2024-05-02 17:20:05,overtemp,low,Overtemp on Hyundai Ioniq 6,True,2024-05-03 06:19:26
62,39,2024-12-06 21:26:44,battery_low,low,Battery Low on Nissan Leaf,True,2024-12-07 13:08:35
63,12,2023-05-16 02:04:36,maintenance,medium,Maintenance on Nissan Leaf,True,2023-05-17 11:55:48
64,22,2023-11-30 20:18:41,fault,low,Fault on Hyundai Ioniq 5,True,2023-12-02 17:47:49
65,16,2023-08-06 17:47:14,overtemp,high,Overtemp on Nissan Leaf,True,2023-08-08 07:52:01
66,40,2024-12-19 16:47:31,battery_low,low,Battery Low on Nissan Leaf,True,2024-12-20 10:00:48
67,33,2023-06-27 17:53:14,fault,low,Fault on Hyundai Ioniq 5,True,2023-06-28 05:19:06
68,33,2023-01-02 03:27:20,fault,medium,Fault on Hyundai Ioniq 5,True,2023-01-03 00:50:10
69,42,2023-01-20 02:10:58,maintenance,medium,Maintenance on BYD Han,False,
70,14,2023-12-18 04:10:12,maintenance,low,Maintenance on Hyundai Ioniq 6,False,
71,47,2023-07-10 14:27:46,battery_low,low,Battery Low on Hyundai Ioniq 6,True,2023-07-11 08:18:17
72,20,2024-03-21 08:22:44,overtemp,medium,Overtemp on Hyundai Kona EV,True,2024-03-23 16:54:09
73,15,2023-04-20 17:50:12,fault,high,Fault on Volkswagen ID.3,True,2023-04-21 16:08:08
74,40,2024-03-17 23:21:50,maintenance,low,Maintenance on Nissan Leaf,True,2024-03-19 07:45:02
75,42,2023-11-28 10:06:18,maintenance,high,Maintenance on BYD Han,False,
76,6,2023-10-15 09:09:49,battery_low,high,Battery Low on Nissan Leaf,False,
77,43,2024-12-04 18:37:55,battery_low,low,Battery Low on BYD Tang,True,2024-12-07 09:14:14
78,32,2023-04-21 13:18:14,maintenance,high,Maintenance on Rivian R1S,True,2023-04-22 22:53:28
79,8,2024-08-06 18:06:22,battery_low,medium,Battery Low on Nissan Ariya,False,
80,23,2023-02-14 04:41:23,overtemp,critical,Overtemp on Rivian R1T,True,2023-02-16 07:42:53
81,30,2024-02-04 17:54:51,battery_low,low,Battery Low on Nissan Ariya,True,2024-02-06 16:21:23
82,38,2024-06-20 04:17:05,battery_low,low,Battery Low on BYD Han,True,2024-06-20 22:51:00
83,41,2023-08-03 16:00:40,fault,low,Fault on Volkswagen ID.3,True,2023-08-04 22:37:58
84,2,2024-03-04 19:57:11,battery_low,critical,Battery Low on Volkswagen ID.3,False,
85,34,2024-06-06 21:55:02,maintenance,low,Maintenance on Tesla Model 3,True,2024-06-08 17:08:00
86,43,2023-10-20 19:19:50,overtemp,medium,Overtemp on BYD Tang,True,2023-10-22 14:50:57
87,2,2024-08-03 00:18:15,charging_error,medium,Charging Error on Volkswagen ID.3,True,2024-08-05 07:38:30
88,1,2024-08-19 20:42:24,fault,low,Fault on BMW i3,True,2024-08-20 18:15:31
89,5,2024-09-05 04:01:42,battery_low,high,Battery Low on Hyundai Kona EV,True,2024-09-06 01:45:40
90,30,2024-05-18 18:48:11,overtemp,high,Overtemp on Nissan Ariya,False,
91,18,2024-12-25 20:43:50,maintenance,low,Maintenance on Volkswagen ID.3,True,2024-12-26 14:19:22
92,20,2024-01-02 07:51:15,overtemp,critical,Overtemp on Hyundai Kona EV,True,2024-01-03 16:38:48
93,49,2023-11-07 08:15:08,overtemp,low,Overtemp on BMW i3,False,
94,42,2023-09-28 19:28:30,battery_low,low,Battery Low on BYD Han,True,2023-09-29 15:31:26
95,32,2023-03-13 04:36:25,maintenance,critical,Maintenance on Rivian R1S,True,2023-03-15 14:47:05
96,2,2023-06-07 15:59:20,fault,high,Fault on Volkswagen ID.3,True,2023-06-10 11:04:40
97,22,2023-08-21 23:18:15,maintenance,high,Maintenance on Hyundai Ioniq 5,False,
98,11,2024-06-03 03:24:36,maintenance,medium,Maintenance on Hyundai Ioniq 6,False,
99,10,2024-11-02 14:00:37,battery_low,medium,Battery Low on Volkswagen ID.4,True,2024-11-04 13:34:38
100,1,2023-03-18 06:07:40,charging_error,low,Charging Error on BMW i3,True,2023-03-20 03:16:20
101,30,2024-10-04 10:27:42,overtemp,medium,Overtemp on Nissan Ariya,True,2024-10-06 02:43:49
102,47,2023-10-16 13:55:14,charging_error,low,Charging Error on Hyundai Ioniq 6,True,2023-10-18 23:47:38
103,11,2024-10-07 17:58:49,maintenance,medium,Maintenance on Hyundai Ioniq 6,False,
104,31,2023-11-03 15:17:45,overtemp,low,Overtemp on BMW i3,True,2023-11-04 20:43:10
105,34,2023-07-19 12:09:01,charging_error,medium,Charging Error on Tesla Model 3,True,2023-07-21 20:59:34
106,46,2023-08-05 22:48:09,overtemp,low,Overtemp on Volkswagen ID.4,False,
107,11,2023-12-22 11:38:38,battery_low,critical,Battery Low on Hyundai Ioniq 6,True,2023-12-24 05:22:33
108,48,2024-03-13 18:28:51,charging_error,critical,Charging Error on Tesla Model 3,False,
109,4,2024-02-24 07:17:17,overtemp,low,Overtemp on BMW iX,True,2024-02-25 15:17:13
110,44,2023-03-25 22:23:29,overtemp,medium,Overtemp on Volkswagen ID.3,True,2023-03-28 03:09:23
111,24,2023-04-02 21:11:08,battery_low,medium,Battery Low on BMW i3,False,
112,30,2024-02-02 19:29:55,charging_error,medium,Charging Error on Nissan Ariya,True,2024-02-03 18:36:16
113,21,2024-03-15 13:46:24,charging_error,high,Charging Error on Volkswagen ID.3,True,2024-03-17 20:41:20
114,7,2023-07-18 20:03:50,fault,low,Fault on Volkswagen ID.4,True,2023-07-20 15:36:15
115,23,2024-07-03 17:09:32,charging_error,low,Charging Error on Rivian R1T,True,2024-07-06 01:35:01
116,15,2024-11-14 10:39:24,battery_low,critical,Battery Low on Volkswagen ID.3,False,
117,46,2023-07-28 05:26:48,maintenance,low,Maintenance on Volkswagen ID.4,True,2023-07-29 10:39:11
118,32,2024-12-23 10:40:55,fault,low,Fault on Rivian R1S,True,2024-12-25 09:40:08
119,48,2024-04-18 17:39:52,battery_low,low,Battery Low on Tesla Model 3,True,2024-04-19 03:32:07
120,10,2024-01-03 18:40:22,maintenance,high,Maintenance on Volkswagen ID.4,False,
121,39,2024-09-08 11:25:48,charging_error,high,Charging Error on Nissan Leaf,True,2024-09-09 23:14:29
122,10,2024-12-15 15:35:36,battery_low,critical,Battery Low on Volkswagen ID.4,True,2024-12-15 18:33:49
123,30,2024-03-18 21:05:51,fault,low,Fault on Nissan Ariya,False,
124,25,2023-10-23 19:03:49,fault,low,Fault on BMW iX,True,2023-10-26 01:23:51
125,24,2024-08-19 10:19:45,battery_low,medium,Battery Low on BMW i3,True,2024-08-20 12:58:54
126,23,2024-06-14 14:45:37,maintenance,medium,Maintenance on Rivian R1T,True,2024-06-15 02:26:30
127,3,2023-03-23 18:03:51,battery_low,medium,Battery Low on BMW i3,False,
128,44,2023-12-04 14:42:59,charging_error,critical,Charging Error on Volkswagen ID.3,True,2023-12-06 05:30:42
129,31,2024-11-02 05:45:38,charging_error,high,Charging Error on BMW i3,True,2024-11-03 18:07:23
130,48,2023-07-23 13:58:46,fault,low,Fault on Tesla Model 3,True,2023-07-24 09:20:03
131,8,2023-10-01 04:44:16,charging_error,low,Charging Error on Nissan Ariya,True,2023-10-02 02:17:41
132,27,2023-08-18 10:07:28,maintenance,medium,Maintenance on Hyundai Kona EV,True,2023-08-19 21:51:45
133,8,2024-06-03 13:48:35,maintenance,low,Maintenance on Nissan Ariya,True,2024-06-04 00:04:18
134,29,2023-08-25 02:43:09,charging_error,low,Charging Error on Rivian R1T,True,2023-08-25 13:43:04
135,10,2023-01-13 16:02:51,fault,medium,Fault on Volkswagen ID.4,False,
136,23,2024-05-02 09:13:57,fault,high,Fault on Rivian R1T,True,2024-05-04 22:06:02
137,5,2023-04-11 10:57:37,overtemp,low,Overtemp on Hyundai Kona EV,True,2023-04-12 15:45:56
138,20,2024-10-11 08:15:02,charging_error,critical,Charging Error on Hyundai Kona EV,True,2024-10-13 09:25:50
139,8,2023-04-15 13:52:34,overtemp,medium,Overtemp on Nissan Ariya,True,2023-04-15 16:47:07
140,9,2023-01-08 14:16:51,fault,low,Fault on Nissan Leaf,True,2023-01-09 09:08:21
141,30,2023-10-28 18:52:18,fault,low,Fault on Nissan Ariya,False,
142,49,2024-11-28 16:16:00,fault,high,Fault on BMW i3,True,2024-12-01 03:04:48
143,9,2024-07-22 17:16:51,charging_error,low,Charging Error on Nissan Leaf,False,
144,21,2024-08-01 14:23:07,battery_low,medium,Battery Low on Volkswagen ID.3,True,2024-08-02 09:29:53
145,37,2024-02-06 21:05:43,overtemp,low,Overtemp on BYD Tang,True,2024-02-09 11:07:41
146,50,2024-10-25 16:43:04,maintenance,high,Maintenance on BYD Han,False,
147,21,2023-04-28 09:08:52,battery_low,high,Battery Low on Volkswagen ID.3,False,
148,17,2024-10-14 05:47:12,battery_low,medium,Battery Low on Volkswagen ID.3,True,2024-10-15 14:49:54
149,41,2024-10-06 12:52:35,battery_low,medium,Battery Low on Volkswagen ID.3,True,2024-10-07 07:29:57
150,25,2023-08-01 13:13:36,battery_low,medium,Battery Low on BMW iX,True,2023-08-02 16:31:38
151,33,2023-01-06 15:33:35,battery_low,low,Battery Low on Hyundai Ioniq 5,True,2023-01-06 18:56:52
152,42,2023-03-19 18:25:50,charging_error,high,Charging Error on BYD Han,True,2023-03-20 23:29:12
153,19,2023-05-17 08:19:41,fault,low,Fault on Volkswagen ID.3,True,2023-05-18 10:52:12
154,10,2024-12-13 12:14:42,overtemp,high,Overtemp on Volkswagen ID.4,True,2024-12-14 00:14:40
155,23,2024-12-07 22:41:22,maintenance,high,Maintenance on Rivian R1T,True,2024-12-08 15:06:28
156,20,2023-07-16 13:10:07,maintenance,medium,Maintenance on Hyundai Kona EV,False,
157,42,2023-05-15 10:48:12,fault,medium,Fault on BYD Han,True,2023-05-16 11:40:26
158,24,2024-05-13 22:07:55,battery_low,low,Battery Low on BMW i3,False,
159,3,2024-09-19 10:08:36,battery_low,low,Battery Low on BMW i3,True,2024-09-22 07:17:39
160,26,2024-09-15 00:34:08,charging_error,medium,Charging Error on BYD Atto 3,True,2024-09-17 07:32:32
161,29,2023-09-25 06:00:48,maintenance,medium,Maintenance on Rivian R1T,False,
162,23,2024-06-10 12:55:52,charging_error,medium,Charging Error on Rivian R1T,True,2024-06-12 01:47:33
163,42,2024-09-30 11:27:40,overtemp,low,Overtemp on BYD Han,True,2024-10-03 08:30:09
164,48,2024-09-11 22:27:31,battery_low,medium,Battery Low on Tesla Model 3,True,2024-09-14 08:10:52
165,38,2024-05-02 01:39:02,charging_error,low,Charging Error on BYD Han,True,2024-05-03 13:01:17
166,16,2023-11-14 12:59:43,maintenance,low,Maintenance on Nissan Leaf,True,2023-11-15 22:31:53
167,14,2023-03-05 19:56:37,charging_error,medium,Charging Error on Hyundai Ioniq 6,True,2023-03-08 16:38:55
168,10,2023-08-29 19:40:13,battery_low,medium,Battery Low on Volkswagen ID.4,False,
169,36,2023-03-08 14:41:25,fault,low,Fault on Hyundai Ioniq 6,False,
170,8,2024-08-20 19:02:22,fault,low,Fault on Nissan Ariya,True,2024-08-22 23:36:35
171,9,2024-09-20 23:48:08,battery_low,high,Battery Low on Nissan Leaf,True,2024-09-21 03:07:43
172,45,2023-01-31 22:43:41,charging_error,medium,Charging Error on Tesla Model S,True,2023-02-01 15:37:01
173,39,2024-07-20 23:49:55,battery_low,high,Battery Low on Nissan Leaf,True,2024-07-21 06:29:47
174,42,2024-01-05 05:11:39,battery_low,medium,Battery Low on BYD Han,True,2024-01-05 16:10:10
175,17,2024-12-10 09:49:01,fault,medium,Fault on Volkswagen ID.3,True,2024-12-11 18:53:29
176,49,2024-04-26 12:10:46,battery_low,high,Battery Low on BMW i3,True,2024-04-29 07:33:23
177,18,2024-09-29 01:02:58,maintenance,high,Maintenance on Volkswagen ID.3,True,2024-09-29 02:13:54
178,31,2024-07-01 06:34:09,overtemp,low,Overtemp on BMW i3,True,2024-07-01 12:46:08
179,13,2024-01-03 10:28:37,overtemp,critical,Overtemp on BMW iX,True,2024-01-04 10:44:36
180,28,2024-07-29 04:42:04,maintenance,low,Maintenance on Rivian R1T,True,2024-07-31 10:12:42
181,42,2024-08-04 11:58:17,charging_error,high,Charging Error on BYD Han,True,2024-08-05 00:57:56
182,43,2023-11-04 08:13:08,battery_low,low,Battery Low on BYD Tang,True,2023-11-04 23:17:44
183,6,2023-09-10 01:32:02,battery_low,low,Battery Low on Nissan Leaf,False,
184,48,2024-01-17 15:00:20,battery_low,low,Battery Low on Tesla Model 3,True,2024-01-17 16:41:00
185,30,2023-05-31 21:25:28,fault,low,Fault on Nissan Ariya,False,
186,9,2024-06-18 10:33:33,battery_low,critical,Battery Low on Nissan Leaf,True,2024-06-21 08:46:45
187,22,2024-05-10 14:44:10,fault,low,Fault on Hyundai Ioniq 5,False,
188,6,2024-05-30 03:59:14,fault,low,Fault on Nissan Leaf,False,
189,16,2023-11-06 14:10:07,maintenance,low,Maintenance on Nissan Leaf,True,2023-11-08 08:49:25
190,40,2024-03-28 15:10:32,charging_error,low,Charging Error on Nissan Leaf,True,2024-03-31 09:28:48
191,14,2023-12-29 20:34:12,maintenance,medium,Maintenance on Hyundai Ioniq 6,True,2023-12-31 03:24:09
192,36,2024-03-13 09:33:50,maintenance,low,Maintenance on Hyundai Ioniq 6,True,2024-03-13 11:27:39
193,12,2023-08-19 10:46:00,battery_low,high,Battery Low on Nissan Leaf,True,2023-08-19 12:50:37
194,18,2023-05-22 01:34:58,fault,low,Fault on Volkswagen ID.3,False,
195,33,2023-10-16 21:30:21,fault,medium,Fault on Hyundai Ioniq 5,True,2023-10-17 15:57:56
196,22,2024-10-24 15:04:25,maintenance,high,Maintenance on Hyundai Ioniq 5,True,2024-10-25 17:14:53
197,40,2023-12-07 11:47:41,overtemp,critical,Overtemp on Nissan Leaf,True,2023-12-07 22:20:40
198,15,2024-11-04 07:53:28,maintenance,medium,Maintenance on Volkswagen ID.3,True,2024-11-05 02:52:15
199,13,2024-03-15 09:46:30,maintenance,low,Maintenance on BMW iX,True,2024-03-17 10:54:09
200,7,2024-07-16 16:02:01,overtemp,low,Overtemp on Volkswagen ID.4,True,2024-07-18 19:13:39
201,16,2024-05-22 21:20:00,overtemp,low,Overtemp on Nissan Leaf,False,
202,19,2024-11-12 02:38:05,charging_error,high,Charging Error on Volkswagen ID.3,True,2024-11-12 18:31:58
203,33,2024-03-01 17:37:40,overtemp,high,Overtemp on Hyundai Ioniq 5,True,2024-03-03 00:05:05
204,3,2023-03-13 20:08:45,charging_error,high,Charging Error on BMW i3,True,2023-03-14 16:00:44
205,49,2024-03-20 12:58:19,charging_error,low,Charging Error on BMW i3,True,2024-03-23 09:43:06
206,27,2024-04-08 05:36:24,maintenance,high,Maintenance on Hyundai Kona EV,False,
207,5,2023-06-14 16:48:11,maintenance,high,Maintenance on Hyundai Kona EV,True,2023-06-17 13:46:49
208,33,2023-07-13 20:35:18,overtemp,low,Overtemp on Hyundai Ioniq 5,True,2023-07-15 02:05:50
209,42,2023-03-03 16:59:01,charging_error,low,Charging Error on BYD Han,False,
210,42,2024-01-08 18:22:17,battery_low,medium,Battery Low on BYD Han,True,2024-01-11 05:52:49
211,48,2023-02-27 02:07:14,battery_low,high,Battery Low on Tesla Model 3,True,2023-03-01 07:54:45
212,50,2023-09-27 21:28:36,fault,low,Fault on BYD Han,True,2023-09-29 16:52:34
213,48,2024-10-31 17:43:48,charging_error,medium,Charging Error on Tesla Model 3,True,2024-11-02 06:59:47
214,18,2023-07-16 09:19:14,battery_low,low,Battery Low on Volkswagen ID.3,False,
215,30,2023-02-09 17:56:16,charging_error,medium,Charging Error on Nissan Ariya,True,2023-02-10 19:35:37
216,25,2023-12-03 05:41:10,maintenance,low,Maintenance on BMW iX,True,2023-12-04 14:13:17
217,48,2023-05-01 15:50:48,battery_low,low,Battery Low on Tesla Model 3,True,2023-05-02 05:47:12
218,22,2024-09-23 09:36:19,battery_low,low,Battery Low on Hyundai Ioniq 5,True,2024-09-23 15:35:25
219,47,2024-09-24 10:20:12,overtemp,low,Overtemp on Hyundai Ioniq 6,True,2024-09-25 12:15:35
220,7,2023-07-02 17:08:33,overtemp,high,Overtemp on Volkswagen ID.4,True,2023-07-03 00:51:28
221,49,2024-01-18 17:11:54,battery_low,low,Battery Low on BMW i3,True,2024-01-18 21:54:58
222,30,2024-08-04 07:51:17,maintenance,medium,Maintenance on Nissan Ariya,True,2024-08-05 20:50:37
223,48,2024-01-27 03:53:19,battery_low,low,Battery Low on Tesla Model 3,True,2024-01-27 13:59:28
224,23,2023-08-13 08:58:32,charging_error,high,Charging Error on Rivian R1T,True,2023-08-14 00:53:57
225,25,2023-05-20 08:10:11,maintenance,critical,Maintenance on BMW iX,True,2023-05-21 02:13:10
226,39,2024-07-19 10:35:51,battery_low,low,Battery Low on Nissan Leaf,False,
227,28,2024-11-22 13:03:49,maintenance,medium,Maintenance on Rivian R1T,True,2024-11-24 05:53:12
228,19,2024-12-16 12:33:52,battery_low,critical,Battery Low on Volkswagen ID.3,True,2024-12-18 00:08:51
229,48,2024-07-31 12:50:58,fault,high,Fault on Tesla Model 3,True,2024-08-02 03:58:01
230,41,2024-02-02 17:53:04,maintenance,medium,Maintenance on Volkswagen ID.3,True,2024-02-05 00:43:34
231,45,2023-02-19 21:36:59,fault,critical,Fault on Tesla Model S,True,2023-02-20 11:17:23
232,9,2024-08-25 22:16:31,battery_low,low,Battery Low on Nissan Leaf,False,
233,37,2023-06-27 02:32:51,battery_low,medium,Battery Low on BYD Tang,True,2023-06-29 13:14:36
234,16,2023-10-01 02:47:37,charging_error,low,Charging Error on Nissan Leaf,True,2023-10-03 01:59:27
235,49,2024-09-19 12:27:30,maintenance,high,Maintenance on BMW i3,False,
236,25,2023-07-26 00:34:59,maintenance,low,Maintenance on BMW iX,True,2023-07-27 20:06:33
237,45,2024-05-01 00:37:05,fault,low,Fault on Tesla Model S,True,2024-05-03 20:39:50
238,41,2024-09-12 00:58:59,charging_error,low,Charging Error on Volkswagen ID.3,True,2024-09-13 14:11:28
239,32,2024-12-29 12:09:22,fault,medium,Fault on Rivian R1S,True,2024-12-30 00:08:02
240,44,2023-06-29 10:40:31,overtemp,medium,Overtemp on Volkswagen ID.3,False,
241,24,2023-06-04 09:07:03,overtemp,low,Overtemp on BMW i3,True,2023-06-07 04:21:21
242,9,2023-02-07 23:38:37,charging_error,low,Charging Error on Nissan Leaf,True,2023-02-09 06:40:01
243,1,2023-02-13 18:11:22,fault,high,Fault on BMW i3,True,2023-02-13 21:50:04
244,40,2023-01-17 01:49:28,battery_low,medium,Battery Low on Nissan Leaf,True,2023-01-18 17:38:51
245,26,2024-12-16 04:35:48,charging_error,low,Charging Error on BYD Atto 3,True,2024-12-17 02:11:40
246,35,2024-09-24 19:50:16,charging_error,low,Charging Error on Nissan Ariya,True,2024-09-25 05:03:57
247,36,2024-02-19 00:32:24,charging_error,medium,Charging Error on Hyundai Ioniq 6,True,2024-02-19 13:05:57
248,26,2024-06-16 23:51:56,fault,low,Fault on BYD Atto 3,True,2024-06-18 17:06:03
249,19,2023-02-06 10:06:47,charging_error,high,Charging Error on Volkswagen ID.3,True,2023-02-08 14:40:24
250,13,2023-11-09 20:03:31,overtemp,low,Overtemp on BMW iX,True,2023-11-11 06:27:42
251,8,2024-11-07 18:54:20,charging_error,low,Charging Error on Nissan Ariya,True,2024-11-10 17:08:43
252,37,2024-12-03 23:16:04,overtemp,low,Overtemp on BYD Tang,True,2024-12-04 01:57:11
253,1,2023-10-15 03:12:22,overtemp,critical,Overtemp on BMW i3,False,
254,16,2024-02-12 03:04:46,charging_error,low,Charging Error on Nissan Leaf,True,2024-02-14 19:04:40
255,43,2023-11-06 08:36:59,charging_error,low,Charging Error on BYD Tang,True,2023-11-06 17:03:29
256,18,2024-10-19 08:43:19,maintenance,medium,Maintenance on Volkswagen ID.3,False,
257,28,2023-08-09 12:56:44,maintenance,low,Maintenance on Rivian R1T,True,2023-08-11 03:34:43
258,18,2023-02-07 05:40:25,maintenance,medium,Maintenance on Volkswagen ID.3,True,2023-02-08 15:24:03
259,18,2024-01-15 06:25:15,overtemp,high,Overtemp on Volkswagen ID.3,False,
260,9,2024-01-04 00:01:17,charging_error,low,Charging Error on Nissan Leaf,True,2024-01-04 09:26:17
261,40,2024-03-09 08:31:56,overtemp,low,Overtemp on Nissan Leaf,False,
262,2,2024-01-27 20:07:18,maintenance,high,Maintenance on Volkswagen ID.3,False,
263,23,2024-10-02 00:36:50,maintenance,medium,Maintenance on Rivian R1T,True,2024-10-04 02:33:38
264,22,2024-01-10 15:55:36,fault,critical,Fault on Hyundai Ioniq 5,True,2024-01-12 16:37:15
265,19,2023-02-12 13:21:08,overtemp,medium,Overtemp on Volkswagen ID.3,True,2023-02-14 00:56:43
266,4,2024-08-22 02:30:21,battery_low,low,Battery Low on BMW iX,True,2024-08-24 06:34:04
267,50,2024-11-13 00:03:38,battery_low,low,Battery Low on BYD Han,True,2024-11-15 14:51:31
268,9,2024-12-26 01:48:32,battery_low,high,Battery Low on Nissan Leaf,True,2024-12-27 06:09:05
269,4,2024-01-11 23:01:33,overtemp,medium,Overtemp on BMW iX,True,2024-01-12 18:39:01
270,11,2024-06-11 17:29:15,charging_error,medium,Charging Error on Hyundai Ioniq 6,True,2024-06-12 15:09:33
