session_id,vehicle_id,driver_id,start_time,end_time,energy_added_kwh,start_soc,end_soc,charger_type,location,cost_usd
43,4,2,2023-05-16 16:13:44,2023-05-16 17:02:42,40.806,15.88,85.16,DCFC,New Austin,4.36
44,49,22,2023-01-24 11:08:19,2023-01-24 12:10:50,52.106,39.2,100,DCFC,West Brandyton,17.65
45,11,25,2023-05-07 22:09:52,2023-05-07 22:46:45,30.741,31.4,96.53,DCFC,Stephanieton,6.27
46,36,3,2024-11-29 12:18:57,2024-11-29 15:57:24,26.215,17.25,58.73,Level2,Thompsonmouth,3.94
47,35,24,2023-12-04 13:20:03,2023-12-05 08:54:28,37.19,33.59,100,Level1,Susanside,4.38
48,25,21,2024-10-03 20:40:13,2024-10-04 13:14:40,31.491,23.59,57.27,Level1,East Michael,5.06
49,12,7,2024-05-09 01:04:05,2024-05-09 07:12:39,44.228,13.34,92.46,Level2,East Donnaport,11.51
50,42,17,2024-09-07 06:45:18,2024-09-07 07:31:07,38.188,33.13,83.98,DCFC,Lorishire,6.01
51,15,7,2023-03-24 02:56:22,2023-03-25 06:52:11,53.068,13.93,80.1,Level1,West Elizabethberg,7.53
52,17,32,2024-05-28 08:30:43,2024-05-28 14:21:52,11.12,25.72,49.13,Level1,South Gregory,2.79
53,34,21,2024-07-18 22:47:05,2024-07-18 23:01:26,11.963,29.69,52.05,DCFC,Scottville,3.4
54,6,24,2023-07-15 08:22:38,2023-07-15 12:58:47,33.138,29.62,93.47,Level2,Jonesport,5.74
55,50,31,2024-08-15 06:07:46,2024-08-15 06:40:46,27.506,58.7,100,DCFC,Lake Ashley,5.5
56,35,21,2024-05-05 17:41:58,2024-05-05 21:36:36,28.157,24.6,74.88,Level2,Willisville,5.88
57,9,23,2023-05-14 00:34:55,2023-05-14 18:12:43,33.497,48.17,98.24,Level1,Jodyfort,9.73
58,6,35,2024-08-11 06:43:52,2024-08-11 07:09:04,21.004,14.13,54.6,DCFC,Jenniferport,3.36
59,5,12,2023-07-09 16:27:47,2023-07-09 22:58:58,46.943,38.07,100,Level2,Thompsonshire,5.72
60,7,18,2023-01-03 19:31:00,2023-01-04 20:12:35,46.917,12.12,73.53,Level1,Thomasfurt,10.15
61,11,38,2024-08-02 16:02:29,2024-08-02 19:43:30,26.522,43.81,100,Level2,Jamesland,8.23
62,49,40,2023-12-31 02:54:05,2023-12-31 03:57:31,52.868,30.28,91.97,DCFC,Santanaborough,16.57
63,43,17,2023-05-08 05:48:45,2023-05-08 06:15:53,22.624,32.73,60.94,DCFC,Lake Phillip,4.17
64,3,13,2024-05-10 07:54:11,2024-05-10 08:48:22,45.162,31.67,81.85,DCFC,North Larrytown,4.82
65,5,27,2023-04-25 02:41:28,2023-04-25 03:49:28,56.668,13.79,88.55,DCFC,South Jasmine,12.1
66,3,25,2024-11-09 11:32:27,2024-11-09 12:04:03,26.334,22.88,52.14,DCFC,North Kimberly,3.74
67,29,16,2024-05-26 09:56:55,2024-05-26 12:54:52,21.354,41.59,85.17,Level2,Meyersborough,2.82
68,9,9,2023-07-15 16:14:24,2023-07-15 17:03:30,40.929,38.82,100,DCFC,Gutierrezville,13.98
69,13,5,2024-12-28 15:28:45,2024-12-28 16:08:35,33.203,37.12,91.91,DCFC,Lake Michael,8.84
70,43,34,2024-08-09 11:46:11,2024-08-09 16:52:13,36.724,54.21,100,Level2,Morrisonville,9.44
71,44,3,2024-01-01 10:11:57,2024-01-01 11:05:20,44.49,13.27,62.98,DCFC,South Katherine,13.34
72,43,12,2023-10-04 19:54:36,2023-10-05 05:06:43,17.484,30.2,52.0,Level1,Chandlerville,2.2
73,48,38,2023-07-18 04:25:20,2023-07-18 05:18:52,44.616,54.52,100,DCFC,Fowlerville,8.97
74,40,33,2023-09-30 02:32:08,2023-09-30 06:09:40,26.104,33.04,62.67,Level2,South Carriehaven,7.2
75,3,21,2023-01-24 20:43:12,2023-01-25 09:36:49,24.498,31.65,58.87,Level1,Port Victortown,2.53
76,46,27,2024-09-28 16:14:27,2024-09-28 16:38:49,20.313,31.06,62.75,DCFC,Port Pamela,6.17
77,50,16,2024-11-27 16:57:29,2024-11-27 17:27:13,24.782,46.1,83.31,DCFC,Perkinstown,4.48
78,31,5,2023-03-14 02:05:41,2023-03-14 02:59:45,45.063,49.65,100,DCFC,New Allenland,4.74
79,9,15,2023-12-07 08:01:28,2023-12-07 10:09:38,15.38,32.89,55.88,Level2,West Amberchester,3.34
80,9,37,2024-09-11 01:42:01,2024-09-12 01:20:38,44.923,18.16,85.31,Level1,South Melissafort,15.53
81,7,14,2024-07-11 04:59:50,2024-07-11 05:25:31,21.407,20.8,48.82,DCFC,Dunlapborough,7.47
82,35,8,2024-01-17 02:43:22,2024-01-17 03:03:30,16.789,29.66,59.64,DCFC,Dillonside,2.3
83,42,7,2024-02-12 12:52:25,2024-02-12 22:51:43,18.978,56.44,81.71,Level1,Campbellborough,5.89
84,18,17,2024-10-07 23:02:10,2024-10-08 13:35:21,27.651,39.75,72.59,Level1,Delgadobury,2.92
85,37,18,2023-05-15 16:33:41,2023-05-15 17:29:03,46.142,49.35,100,DCFC,Port Steven,12.29
86,17,33,2023-10-29 07:21:08,2023-10-29 10:14:45,20.834,22.03,65.89,Level2,Morrisonport,4.43
87,31,6,2024-08-24 22:11:59,2024-08-25 03:14:07,36.256,59.49,100,Level2,South Larrymouth,11.81
88,50,25,2024-10-19 15:14:12,2024-10-19 15:41:51,23.05,52.36,86.97,DCFC,Martinezmouth,2.6
89,9,31,2023-06-15 07:54:32,2023-06-15 08:17:04,18.779,55.51,83.58,DCFC,Port Robin,5.58
90,28,37,2023-10-27 06:56:56,2023-10-27 09:56:45,21.578,14.75,51.89,Level2,East Sylvia,4.27
91,39,23,2023-03-27 22:28:33,2023-03-28 00:52:43,17.301,22.89,52.77,Level2,Heathstad,4.67
92,27,4,2023-06-28 04:49:57,2023-06-28 10:19:54,39.594,19.42,73.51,Level2,Dyermouth,11.11
93,14,15,2023-01-04 14:17:48,2023-01-04 14:47:29,24.747,10.79,62.78,DCFC,Davidside,6.15
94,50,35,2023-06-09 17:36:43,2023-06-09 18:25:06,40.32,39.46,100,DCFC,Stevenbury,13.24
95,32,20,2023-06-23 10:21:39,2023-06-23 12:58:34,18.83,47.05,74.66,Level2,Elizabethtown,4.37
96,42,8,2023-08-28 12:40:31,2023-08-28 13:22:08,34.681,53.82,100,DCFC,New Jocelynbury,9.46
97,12,38,2024-06-29 02:21:30,2024-06-29 02:41:57,17.049,46.45,76.95,DCFC,Andersonborough,2.18
98,32,9,2024-05-27 12:02:50,2024-05-27 21:42:48,18.366,36.81,63.74,Level1,Peterberg,5.39
99,27,19,2024-02-05 17:00:31,2024-02-05 17:43:43,36.0,42.76,91.94,DCFC,Bretthaven,9.71
100,35,15,2024-05-16 15:57:38,2024-05-17 11:18:36,36.764,34.35,100,Level1,Terrellchester,5.35
101,12,23,2023-09-15 14:03:19,2023-09-16 12:36:01,42.836,21.55,98.18,Level1,Normaside,8.73
102,49,19,2023-05-15 23:27:49,2023-05-17 00:17:54,47.186,44.94,100,Level1,Lake Ann,9.58
103,22,27,2024-01-19 15:35:52,2024-01-20 14:11:25,42.926,23.81,68.9,Level1,Josephland,13.65
104,6,5,2024-09-18 09:01:43,2024-09-18 21:12:12,23.132,24.33,68.9,Level1,South Mirandaburgh,5.31
105,6,40,2024-09-21 03:09:47,2024-09-21 03:35:59,21.834,55.99,98.06,DCFC,New Catherine,3.25
106,37,15,2024-06-07 14:41:47,2024-06-08 14:20:56,44.94,50.26,99.59,Level1,Lisaview,15.05
107,4,1,2024-03-26 22:26:29,2024-03-26 23:07:25,34.115,26.7,84.62,DCFC,East Brandonland,10.8
108,36,35,2024-05-30 03:43:09,2024-05-30 14:36:10,20.679,13.73,46.45,Level1,North Hannahborough,3.48
109,19,39,2024-02-17 10:54:24,2024-02-18 10:21:58,44.573,47.15,95.81,Level1,West Meganland,5.35
110,49,17,2023-07-07 19:17:19,2023-07-08 00:06:33,34.708,38.24,78.74,Level2,Mccarthyside,10.21
111,14,27,2023-10-01 19:56:50,2023-10-01 23:43:43,27.227,21.68,78.88,Level2,Port Michaelchester,9.11
112,20,21,2023-10-04 12:08:01,2023-10-04 15:39:56,25.431,19.13,64.87,Level2,North Zacharytown,3.55
113,50,8,2024-05-05 18:03:59,2024-05-05 18:30:05,21.752,19.75,52.41,DCFC,North Spencerland,7.07
114,43,31,2023-11-10 18:00:34,2023-11-10 18:20:27,16.577,10.36,31.03,DCFC,Jonesborough,2.14
115,22,34,2024-08-11 09:49:11,2024-08-12 15:59:34,57.329,12.61,72.83,Level1,South Donnaside,18.0
116,45,27,2024-09-16 02:33:54,2024-09-16 06:16:24,26.7,47.56,81.06,Level2,South Ashleystad,3.9
117,48,10,2023-07-13 03:06:20,2023-07-13 03:45:36,32.736,42.76,76.13,DCFC,Bradybury,9.22
118,6,1,2024-04-20 20:41:37,2024-04-20 20:55:55,11.921,59.28,82.25,DCFC,West Davidside,2.37
119,38,10,2023-09-02 02:13:54,2023-09-02 02:34:52,17.478,58.35,86.77,DCFC,Port Amy,4.54
120,44,40,2024-04-05 12:22:33,2024-04-07 01:08:46,69.864,18.9,96.96,Level1,South Andrestad,8.17
121,39,3,2024-06-01 18:07:30,2024-06-02 01:26:30,13.902,11.43,35.44,Level1,South Heather,4.07
122,24,13,2024-09-14 17:36:25,2024-09-16 05:05:39,67.426,15.17,86.52,Level1,Lake Jeffrey,18.89
123,45,17,2024-11-25 23:25:10,2024-11-26 05:33:58,44.257,44.47,100,Level2,Port Rebecca,9.57
124,1,1,2024-06-21 18:17:51,2024-06-22 08:22:42,26.754,42.71,100,Level1,Zacharyton,7.93
125,33,23,2023-05-30 02:21:22,2023-05-30 22:35:02,38.433,53.02,94.84,Level1,Tracyburgh,12.38
126,24,16,2023-06-21 00:49:00,2023-06-21 20:47:46,37.961,22.89,63.06,Level1,New Cameronbury,6.84
127,24,2,2024-10-02 05:39:02,2024-10-03 13:30:07,60.518,24.11,88.15,Level1,Wallaceview,6.55
128,7,7,2023-07-10 08:57:11,2023-07-11 09:08:08,45.947,32.11,92.25,Level1,Chapmanstad,5.07
129,28,4,2023-08-18 18:25:19,2023-08-19 06:31:07,22.984,41.79,81.35,Level1,Lake John,3.09
130,25,28,2024-04-07 03:20:04,2024-04-07 08:37:53,38.139,59.21,100,Level2,North Ericafort,10.56
131,20,15,2024-07-17 03:53:15,2024-07-17 05:58:12,14.995,29.19,56.16,Level2,East Brenda,3.68
132,10,24,2023-08-05 00:27:42,2023-08-05 00:51:27,19.793,24.29,53.7,DCFC,Jasonberg,5.98
133,38,7,2024-02-10 23:49:22,2024-02-11 04:55:19,36.715,35.87,95.57,Level2,Olivershire,11.74
134,14,20,2023-10-18 04:14:45,2023-10-18 18:10:12,26.456,34.34,89.92,Level1,Dustinmouth,6.7
135,9,38,2023-05-17 02:14:44,2023-05-17 14:57:10,24.144,31.16,67.25,Level1,Gregoryport,6.64
136,25,32,2023-02-27 04:59:30,2023-02-28 04:09:36,44.02,11.91,58.99,Level1,Veronicaton,10.58
137,5,37,2024-08-17 16:18:19,2024-08-18 10:57:51,35.452,53.23,100,Level1,Codyfurt,8.31
138,18,16,2024-09-04 12:48:25,2024-09-04 13:43:57,46.285,39.57,94.54,DCFC,Wilsonfurt,11.94
139,8,29,2024-03-25 09:50:02,2024-03-25 12:19:27,17.93,19.85,52.87,Level2,Lauraberg,5.75
140,24,10,2023-01-25 18:56:06,2023-01-27 08:25:35,71.234,20.05,95.43,Level1,New Audrey,19.05
141,27,1,2024-12-07 03:53:59,2024-12-07 23:14:51,36.761,49.19,99.41,Level1,New Linda,9.24
142,27,16,2023-09-27 09:43:15,2023-09-27 10:11:07,23.226,55.21,86.94,DCFC,Melissaland,4.13
143,47,27,2023-07-01 14:36:32,2023-07-02 16:57:09,50.053,19.19,97.52,Level1,Michellefort,13.43
144,6,26,2024-08-31 22:26:41,2024-08-31 23:13:32,39.055,18.47,93.72,DCFC,Housebury,4.86
145,29,22,2023-06-15 04:24:41,2023-06-15 16:19:05,22.623,53.83,100,Level1,North Michaelville,6.91
146,18,3,2023-06-21 21:29:49,2023-06-21 22:12:10,35.305,58.07,100,DCFC,Davismouth,4.8
147,16,24,2023-06-13 03:11:47,2023-06-13 17:29:14,27.153,21.49,66.82,Level1,Amandamouth,8.75
148,27,18,2024-02-24 21:05:21,2024-02-25 07:40:07,20.101,53.6,81.06,Level1,Lake Tim,6.87
149,14,1,2023-05-09 07:57:52,2023-05-09 08:26:21,23.748,32.59,82.48,DCFC,West Robin,7.71
150,44,25,2024-04-08 05:57:34,2024-04-08 07:09:08,59.652,14.06,80.71,DCFC,Lake Jeremyport,6.12
151,30,11,2024-08-12 21:27:02,2024-08-12 22:02:47,29.802,18.99,85.96,DCFC,Simpsonmouth,7.29
152,38,4,2023-06-06 04:41:08,2023-06-06 09:16:21,33.026,46.3,100,Level2,Brooksstad,10.15
153,32,29,2024-04-09 13:25:16,2024-04-10 06:15:21,31.986,53.1,100,Level1,Port Michael,4.98
154,12,22,2023-04-06 23:56:11,2023-04-07 19:34:19,37.308,18.37,85.11,Level1,Hernandezton,10.04
155,16,6,2024-09-14 00:11:21,2024-09-14 02:59:43,20.204,44.98,78.71,Level2,West Christophertown,2.46
156,5,37,2024-10-29 17:04:13,2024-10-29 17:53:20,40.932,46.0,100,DCFC,Thomasview,8.26
157,5,31,2024-10-11 20:06:36,2024-10-11 21:10:26,53.196,25.12,95.3,DCFC,Travisport,12.68
158,40,39,2023-08-21 22:09:32,2023-08-22 01:13:31,22.078,53.47,78.53,Level2,Romeromouth,4.54
159,48,40,2023-12-15 17:08:37,2023-12-16 14:03:52,39.75,21.34,61.86,Level1,South Brucehaven,7.4
160,14,8,2023-08-11 20:36:43,2023-08-11 21:00:00,19.407,59.23,100,DCFC,South Jeremy,3.93
161,41,10,2024-03-05 12:57:56,2024-03-05 21:02:09,15.334,14.72,45.45,Level1,Jamesstad,3.78
162,42,30,2023-10-03 19:49:27,2023-10-03 20:45:46,46.938,37.5,100,DCFC,Lake Carl,5.12
163,5,27,2024-03-11 14:37:34,2024-03-11 21:54:03,52.378,10.8,79.9,Level2,Jamesport,7.92
164,22,26,2024-08-10 13:23:31,2024-08-10 14:38:12,62.242,17.32,82.7,DCFC,Latashatown,18.23
165,7,11,2024-08-09 23:37:59,2024-08-10 04:54:47,38.017,44.12,93.88,Level2,Megantown,6.33
166,4,8,2024-08-18 22:24:47,2024-08-19 02:44:29,31.164,47.09,100,Level2,Fernandoton,8.54
167,31,10,2024-08-29 09:27:42,2024-08-29 10:23:49,46.773,32.34,84.6,DCFC,Dianechester,9.13
168,15,25,2023-05-05 14:21:22,2023-05-05 20:20:15,43.067,30.58,84.28,Level2,Hollyhaven,6.35
169,19,35,2023-11-01 21:49:20,2023-11-02 01:02:09,23.138,49.2,74.46,Level2,West Thomas,7.56
170,44,34,2024-08-23 11:45:46,2024-08-24 16:17:39,54.21,13.75,74.32,Level1,South Diane,7.46
171,32,33,2024-04-02 15:18:33,2024-04-02 20:26:32,36.958,45.81,100,Level2,New Martinview,4.62
172,26,1,2023-09-05 07:13:16,2023-09-06 01:22:34,34.495,20.91,88.68,Level1,Port Jordanshire,11.91
173,19,2,2024-03-30 16:08:38,2024-03-30 22:47:28,47.861,47.75,100,Level2,Lake Joshuaview,7.84
174,2,38,2024-07-30 21:35:53,2024-07-31 11:03:04,25.561,29.87,72.33,Level1,Taylorport,4.97
175,50,35,2024-12-26 04:39:33,2024-12-26 22:02:17,33.02,20.01,69.59,Level1,New Laura,6.4
176,45,15,2024-01-18 04:59:51,2024-01-18 09:55:20,35.459,35.85,80.34,Level2,North Nicholas,11.99
177,45,36,2023-05-05 22:25:45,2023-05-06 08:52:41,19.853,38.89,63.8,Level1,Port Joseph,2.44
178,50,27,2023-11-25 08:13:50,2023-11-25 09:00:29,38.881,29.15,87.53,DCFC,Nataliechester,11.58
179,34,39,2024-03-15 01:11:40,2024-03-15 16:57:06,29.939,25.43,81.39,Level1,East Sarah,5.6
180,46,5,2024-02-01 00:42:57,2024-02-01 05:28:08,34.223,46.61,100,Level2,East Lucasbury,5.98
181,23,3,2024-04-21 06:58:20,2024-04-21 07:26:23,23.384,18.39,47.99,DCFC,North Peterville,5.2
182,29,11,2023-11-01 05:35:20,2023-11-01 05:55:54,17.14,58.52,93.5,DCFC,Robertsville,5.5
183,19,23,2023-06-28 16:40:58,2023-06-28 17:03:33,18.833,56.89,77.45,DCFC,South Alice,3.18
184,3,15,2024-07-08 18:31:18,2024-07-09 23:38:20,55.323,38.53,100,Level1,Lake David,7.0
185,20,18,2023-06-01 12:33:00,2023-06-01 17:55:56,38.753,21.37,91.07,Level2,Port Johnstad,9.2
186,50,20,2023-08-22 16:17:27,2023-08-23 14:52:05,42.897,31.54,95.95,Level1,Woodshaven,12.85
187,36,18,2023-09-01 09:00:18,2023-09-01 09:26:14,21.614,10.59,44.79,DCFC,New Jerry,6.54
188,31,5,2023-04-09 03:05:57,2023-04-09 04:22:38,63.903,26.38,97.78,DCFC,Brucetown,15.59
189,35,6,2023-01-09 12:03:43,2023-01-10 02:15:44,26.981,45.35,93.53,Level1,North Amyborough,4.65
190,35,22,2024-08-19 19:55:12,2024-08-20 17:37:59,41.255,15.32,88.99,Level1,North Brandybury,7.24
191,27,31,2023-03-21 02:30:35,2023-03-21 23:10:45,39.272,32.85,86.5,Level1,Oconnellborough,6.2
192,23,17,2023-04-16 14:36:40,2023-04-17 20:10:25,56.169,13.98,85.08,Level1,East Elizabethfort,6.65
193,9,27,2023-03-29 03:16:20,2023-03-29 10:01:18,48.596,27.36,100,Level2,Mclaughlinfurt,12.3
194,27,32,2024-05-07 12:59:04,2024-05-07 17:37:32,33.416,41.76,87.41,Level2,New Daniel,9.81
195,5,12,2023-03-23 04:50:21,2023-03-23 20:42:19,30.146,21.24,61.01,Level1,Campbellshire,4.64
196,11,10,2024-01-30 17:54:35,2024-01-30 18:18:53,20.263,17.16,60.09,DCFC,Port Lisa,5.47
197,27,7,2024-05-22 12:30:23,2024-05-22 13:34:44,53.634,26.11,99.38,DCFC,Shafferfort,7.65
198,17,24,2023-12-09 02:41:55,2023-12-09 02:56:43,12.341,17.02,43.0,DCFC,Lake Dawnberg,2.56
199,10,29,2023-12-29 12:14:41,2023-12-29 16:37:19,31.517,38.83,85.66,Level2,West Nathanview,7.68
200,43,22,2023-02-26 09:03:55,2023-02-26 14:01:47,35.745,55.43,100,Level2,East Davidport,4.61
201,38,19,2023-11-30 09:04:58,2023-11-30 09:55:40,42.251,17.67,86.37,DCFC,East Cindyside,6.78
202,27,14,2024-03-24 20:48:16,2024-03-25 00:55:41,29.69,52.72,93.28,Level2,East Barbara,6.57
203,5,20,2024-07-27 22:57:43,2024-07-28 01:13:27,16.289,14.69,36.18,Level2,Adamsburgh,3.42
204,26,16,2023-09-14 00:42:11,2023-09-14 01:03:47,18.003,19.04,54.41,DCFC,Charlestown,5.62
205,41,25,2024-07-16 13:16:16,2024-07-17 06:35:39,32.914,17.21,83.17,Level1,Zacharychester,6.5
206,14,33,2024-02-07 02:13:57,2024-02-07 13:44:02,21.853,54.09,100,Level1,Mcculloughfurt,6.56
207,42,21,2023-03-07 10:23:43,2023-03-07 23:17:05,24.49,57.51,90.12,Level1,North Dannyhaven,3.43
208,18,17,2024-01-01 05:13:50,2024-01-01 05:36:25,18.827,41.99,64.35,DCFC,South Jennifer,6.15
209,34,12,2024-08-04 01:22:11,2024-08-04 07:40:58,11.995,35.03,57.45,Level1,Vasquezberg,3.84
210,37,29,2023-01-28 04:48:37,2023-01-28 05:14:52,21.882,59.32,83.34,DCFC,New Sherri,6.82
211,32,16,2024-08-22 00:34:35,2024-08-22 01:04:11,24.668,28.15,64.32,DCFC,West Melissamouth,2.53
212,41,7,2023-05-02 05:17:39,2023-05-02 23:17:59,34.211,31.44,100,Level1,North Thomasberg,10.21
213,4,2,2024-04-12 22:22:33,2024-04-13 14:17:05,30.227,48.68,100,Level1,Matthewborough,7.48
214,46,36,2023-02-03 03:49:19,2023-02-03 04:11:17,18.313,41.15,69.72,DCFC,New Shannonstad,4.18
215,9,3,2023-10-06 00:44:42,2023-10-06 19:15:55,35.189,26.42,79.02,Level1,East Christine,12.02
216,40,6,2023-12-07 05:40:19,2023-12-07 06:32:18,43.328,50.82,100,DCFC,South Dustinfurt,12.58
217,41,17,2023-05-25 15:06:57,2023-05-25 17:23:50,16.427,30.81,63.73,Level2,West Aprilbury,2.25
218,28,34,2024-02-17 16:43:58,2024-02-18 11:14:32,35.168,10.7,71.23,Level1,Christinestad,4.24
219,12,7,2023-07-06 12:37:04,2023-07-06 14:11:18,11.309,46.0,66.23,Level2,Thomaston,2.41
220,16,19,2023-04-10 15:08:00,2023-04-10 18:01:00,20.761,46.63,81.29,Level2,Riveraborough,3.51
221,15,28,2023-09-15 08:30:51,2023-09-15 13:48:06,38.071,52.53,100,Level2,Smithville,6.22
222,1,12,2024-11-14 18:25:29,2024-11-14 20:35:18,15.579,35.93,69.29,Level2,New Carlland,4.78
223,41,30,2024-07-12 21:56:42,2024-07-12 23:30:50,11.297,40.55,63.19,Level2,East Amy,3.61
224,30,11,2023-07-05 22:03:07,2023-07-05 22:40:32,31.181,20.27,90.34,DCFC,Lake Nicoleburgh,7.53
225,24,7,2024-02-21 00:25:20,2024-02-21 07:27:26,50.652,45.25,98.85,Level2,Harrisonland,14.38
226,17,14,2023-05-16 16:28:01,2023-05-16 23:44:03,13.808,49.47,78.54,Level1,Jonathanside,4.21
227,35,33,2024-04-12 17:33:35,2024-04-13 11:55:07,34.882,37.71,100,Level1,Bennettmouth,11.84
228,46,9,2024-02-11 15:08:25,2024-02-11 17:43:16,18.583,17.46,46.45,Level2,Burkefort,3.14
229,50,34,2023-05-29 03:16:43,2023-05-29 08:49:43,39.96,40.0,100,Level2,Ryanton,11.08
230,29,31,2023-03-17 08:39:59,2023-03-17 09:03:21,19.482,25.77,65.53,DCFC,Mayside,2.25
231,3,8,2023-01-03 17:11:38,2023-01-03 18:07:20,46.422,48.42,100,DCFC,Dianaberg,8.27
232,31,10,2023-09-15 05:41:09,2023-09-15 15:44:50,19.117,19.18,40.54,Level1,South Chelsea,6.19
233,46,35,2024-10-20 10:17:04,2024-10-21 03:06:44,31.973,27.83,77.71,Level1,Port Ashleyfurt,5.73
234,6,29,2024-05-26 17:19:32,2024-05-27 12:25:18,36.283,20.09,90.0,Level1,Port William,11.89
235,44,40,2023-10-21 00:58:27,2023-10-21 02:08:38,58.488,34.46,99.81,DCFC,Brianfurt,12.36
236,18,6,2024-11-12 00:56:50,2024-11-12 20:29:57,37.149,26.1,70.22,Level1,West Gary,10.82
